"","municipio","codEstacao","PrecM"
"1","ABAÍRA","290010801C",8.6
"2","ADUSTINA","290035501C",14.2
"3","AMARGOSA","290100701C",64.8
"4","AMÉRICA DOURADA","290115501C",2.2
"5","ANAGÉ","290120501C",1
"6","ANDARAÍ","290130401C",9.4
"7","ANTÔNIO CARDOSO","290170001C",32.8
"8","ARACATU","290200501C",9.2
"9","BARRA DA ESTIVA","290280701U",20.8
"10","BARRA DO CHOÇA","290290601C",11.4
"11","BELMONTE","290340901A",37.13
"12","BOA VISTA DO TUPIM","290380501U",8.8
"13","BOM JESUS DA SERRA","290395301C",8.4
"14","BONITO","290405001C",42
"15","BOQUIRA","290410001C",1.6
"16","BREJÕES","290430801C",24.8
"17","CABACEIRAS DO PARAGUAÇU","290485201C",49.2
"18","CALDEIRÃO GRANDE","290550301C",20.6
"19","CAMACAN","290560202A",61.4
"20","CAMACAN","290560203A",42.82
"21","CAMAÇARI","290570101H",51.8
"22","CANARANA","290620401C",5
"23","CANDEIAS","290650101A",47.13
"24","CANDEIAS","290650102A",44.12
"25","CANDEIAS","290650103A",50.92
"26","CANDEIAS","290650104A",0
"27","CANSANÇÃO","290680801C",15.4
"28","CANUDOS","290682401C",10
"29","CAPELA DO ALTO ALEGRE","290685701C",16.2
"30","CAPIM GROSSO","290687301C",16.6
"31","CARAÍBAS","290689901C",3
"32","CASTRO ALVES","290730101C",47.6
"33","CENTRAL","290760801C",0.8
"34","CHORROCHÓ","290770701C",1.4
"35","CONCEIÇÃO DO COITÉ","290840801C",22.8
"36","CORONEL JOÃO SÁ","290920801C",5.8
"37","CURAÇÁ","290990101C",6.2
"38","DOM BASÍLIO","291010701C",2.2
"39","EUCLIDES DA CUNHA","291070101C",1.2
"40","FEIRA DE SANTANA","291080001U",27.6
"41","FÁTIMA","291075001C",20.6
"42","GANDU","291120401A",71.01
"43","GAVIÃO","291125301C",11.8
"44","GENTIO DO OURO","291130301C",5.8
"45","IAÇU","291190701C",9.8
"46","IBIASSUCÊ","291200401C",0.6
"47","IBICOARA","291220201C",21.2
"48","IBITITÁ","291310101U",0.6
"49","ILHÉUS","291360602A",104.79
"50","IPECAETÁ","291380401C",29.4
"51","IPIRÁ","291400001C",18.4
"52","IRAJUBA","291420801C",32.2
"53","IRAMAIA","291430701U",24
"54","IRAQUARA","291440601C",5
"55","ITABUNA","291480201A",11.48
"56","ITABUNA","291480202A",108.47
"57","ITABUNA","291480202H",113.4
"58","ITABUNA","291480203A",90.99
"59","ITAETÉ","291500701C",16.6
"60","ITAGIMIRIM","291530401A",48.47
"61","ITAMBÉ","291580901C",16.8
"62","ITAPETINGA","291640101A",31.52
"63","ITAPETINGA","291640103H",32
"64","ITAPICURU","291650001C",21.4
"65","ITARANTIM","291680701C",27.4
"66","ITATIM","291685601C",5.2
"67","ITIRUÇU","291690601C",40.4
"68","ITIÚBA","291700301C",15.8
"69","ITORORÓ","291710201A",30.84
"70","ITORORÓ","291710201C",27.2
"71","IUIÚ","291733401C",12.6
"72","JACOBINA","291750801C",15.2
"73","JAGUAQUARA","291760701C",26
"74","JAGUARARI","291770601U",14.6
"75","JEQUIÉ","291800101U",33.8
"76","JEREMOABO","291810001C",40.4
"77","JUAZEIRO","291840702A",2.2
"78","JUAZEIRO","291840703A",4.2
"79","JUAZEIRO","291840704A",2.6
"80","LAFAIETE COUTINHO","291870401C",29.6
"81","LAJEDO DO TABOCAL","291905801C",19
"82","LAMARÃO","291910801C",26.8
"83","LAPÃO","291915701A",0
"84","LAURO DE FREITAS","291920701A",58.14
"85","LAURO DE FREITAS","291920702A",67.66
"86","LAURO DE FREITAS","291920703A",75.86
"87","LAURO DE FREITAS","291920704A",9.6
"88","LAURO DE FREITAS","291920704H",78.8
"89","LAURO DE FREITAS","291920705A",53.88
"90","LAURO DE FREITAS","291920706A",58.94
"91","LENÇÓIS","291930601C",5.2
"92","LIVRAMENTO DE NOSSA SENHORA","291950401U",1.2
"93","MACAJUBA","291960301C",33.4
"94","MACURURÉ","291990001U",4.4
"95","MAIRI","292010601C",23.8
"96","MANOEL VITORINO","292040301C",2.8
"97","MARACÁS","292050201C",19
"98","MIGUEL CALMON","292120301C",33.6
"99","MIRANGABA","292140101C",4.8
"100","MUCUGÊ","292190601C",38
"101","MUNDO NOVO","292210201C",43.4
"102","NAZARÉ","292250801A",37.52
"103","NOVA CANAÃ","292270601C",30.6
"104","NOVA ITARANA","292280501C",14
"105","NOVA REDENÇÃO","292285401C",23.4
"106","NOVA VIÇOSA","292300102A",19.13
"107","NOVA VIÇOSA","292300103A",9.92
"108","OLINDINA","292310001C",23
"109","OLIVEIRA DOS BREJINHOS","292320901C",5
"110","PAULO AFONSO","292400901C",14.2
"111","PEDRO ALEXANDRE","292420701C",37.8
"112","PIATÃ","292430601C",28.6
"113","PINTADAS","292465201C",10
"114","PIRIPÁ","292470201C",1.4
"115","PLANALTINO","292490001C",18.2
"116","PLANALTO","292500601C",9.8
"117","PORTO SEGURO","292530301A",55.56
"118","PORTO SEGURO","292530302A",0
"119","PORTO SEGURO","292530303A",77.61
"120","PORTO SEGURO","292530304A",57.88
"121","POÇÕES","292510501U",6
"122","QUIXABEIRA","292593101C",16
"123","RAFAEL JAMBEIRO","292595601U",14.6
"124","RETIROLÂNDIA","292610301C",21.2
