"","municipio","codEstacao","PrecM"
"1","ABAÍRA","290010801C",33.6
"2","ADUSTINA","290035501C",64.8
"3","ANAGÉ","290120501C",36.8
"4","ANDARAÍ","290130401C",46.8
"5","ANTÔNIO CARDOSO","290170001C",75.2
"6","ARACATU","290200501C",64.8
"7","BARRA DA ESTIVA","290280701U",89
"8","BARRA DO CHOÇA","290290601C",118.8
"9","BARRO ALTO","290323501C",157
"10","BELMONTE","290340901A",218.52
"11","BOA VISTA DO TUPIM","290380501U",81
"12","BOM JESUS DA SERRA","290395301C",48.8
"13","BONINAL","290400101C",0.6
"14","BONITO","290405001C",41.6
"15","BREJÕES","290430801C",36.4
"16","CABACEIRAS DO PARAGUAÇU","290485201C",60.2
"17","CACULÉ","290500801C",31.4
"18","CAETITÉ","290520601U",47.8
"19","CAMACAN","290560201A",242.81
"20","CAMACAN","290560202A",272.27
"21","CAMACAN","290560203A",232.92
"22","CAMAÇARI","290570101H",151
"23","CAMPO ALEGRE DE LOURDES","290590901C",1.4
"24","CANARANA","290620401C",121
"25","CANDEIAS","290650101A",122.78
"26","CANDEIAS","290650104A",139.76
"27","CANDEIAS","290650105A",162.48
"28","CANDIBA","290660001C",71.8
"29","CANSANÇÃO","290680801C",2
"30","CANUDOS","290682401C",26.4
"31","CAPIM GROSSO","290687301C",52.4
"32","CARAÍBAS","290689901C",67.2
"33","CASTRO ALVES","290730101C",36.8
"34","CENTRAL","290760801C",33.2
"35","CHORROCHÓ","290770701C",1
"36","CONCEIÇÃO DO COITÉ","290840801C",21.6
"37","CONDEÚBA","290870501C",5.6
"38","CORONEL JOÃO SÁ","290920801C",49.6
"39","CÂNDIDO SALES","290670901C",30.8
"40","FEIRA DE SANTANA","291080001U",23.6
"41","FÁTIMA","291075001C",74.4
"42","GANDU","291120401A",64.9
"43","GAVIÃO","291125301C",13.4
"44","GUANAMBI","291170901C",7.6
"45","IAÇU","291190701C",10.4
"46","IBIASSUCÊ","291200401C",19.6
"47","IBICOARA","291220201C",88.8
"48","IBIPITANGA","291250901C",0.8
"49","IBITITÁ","291310101U",2.6
"50","ILHÉUS","291360602A",118.78
"51","IPECAETÁ","291380401C",67.4
"52","IPIRÁ","291400001C",116
"53","IRAJUBA","291420801C",32.6
"54","IRAMAIA","291430701U",80
"55","IRAQUARA","291440601C",41.4
"56","IRECÊ","291460401C",6.6
"57","ITABERABA","291470301C",59
"58","ITABUNA","291480201A",85.16
"59","ITABUNA","291480202A",128.75
"60","ITABUNA","291480202H",139
"61","ITABUNA","291480203A",109.68
"62","ITAETÉ","291500701C",192.2
"63","ITAGIMIRIM","291530401A",170.27
"64","ITAMBÉ","291580901C",58.4
"65","ITAPETINGA","291640101A",101.39
"66","ITAPETINGA","291640103H",143.2
"67","ITAPICURU","291650001C",37.6
"68","ITARANTIM","291680701C",119.4
"69","ITATIM","291685601C",1.4
"70","ITORORÓ","291710201A",142.56
"71","ITORORÓ","291710201C",104.8
"72","JACOBINA","291750801C",2.2
"73","JAGUARARI","291770601U",43.6
"74","JEREMOABO","291810001C",36.8
"75","JOÃO DOURADO","291835701C",5.6
"76","JUAZEIRO","291840701A",7.8
"77","JUAZEIRO","291840702A",8
"78","JUAZEIRO","291840703A",7
"79","JUAZEIRO","291840704A",8
"80","LAFAIETE COUTINHO","291870401C",57.4
"81","LAJEDINHO","291900901A",210
"82","LAMARÃO","291910801C",6.6
"83","LAPÃO","291915701A",34
"84","LAURO DE FREITAS","291920701A",127.51
"85","LAURO DE FREITAS","291920702A",0
"86","LAURO DE FREITAS","291920703A",136.18
"87","LAURO DE FREITAS","291920704A",0
"88","LAURO DE FREITAS","291920704H",55.4
"89","LAURO DE FREITAS","291920705A",148.98
"90","LAURO DE FREITAS","291920706A",138.41
"91","LENÇÓIS","291930601C",141
"92","LICÍNIO DE ALMEIDA","291940501C",15.2
"93","MACAJUBA","291960301C",126.2
"94","MACARANI","291970201C",0.6
"95","MACAÚBAS","291980101U",21
"96","MAIRI","292010601C",77
"97","MANOEL VITORINO","292040301C",4.6
