"","municipio","codEstacao","PrecM"
"1","Camacan","290560201A",50.871316066
"2","Candeias","290650101A",152.522790305
"3","Candeias","290650102A",147.648456038
"4","Candeias","290650103A",132.828195605
"5","Candeias","290650104A",131.303063948
"6","Candeias","290650105A",134.918022639
"7","Itabuna","291480201A",30.270818277
"8","Lauro de Freitas","291920701A",94.169626589
"9","Lauro de Freitas","291920702A",101.661648633
"10","Lauro de Freitas","291920703A",77.548514367
"11","Lauro de Freitas","291920704A",53.412606005
"12","Lauro de Freitas","291920705A",114.550304416
"13","Lauro de Freitas","291920706A",83.962525545
"14","Salvador","292740801A",51.39806701
"15","Salvador","292740802A",238.469646669
"16","Salvador","292740803A",128.195624559
"17","Salvador","292740804A",72.762000712
"18","Salvador","292740805A",100.380727257
"19","Salvador","292740806A",113.808549696
"20","Salvador","292740808A",66.640322621
"21","Salvador","292740810A",188.241788079
"22","Salvador","292740811A",99.451463048
"23","Salvador","292740812A",141.896813039
"24","Salvador","292740814A",166.758213089
"25","Salvador","292740815A",173.545254362
"26","Salvador","292740816A",196.168714949
"27","Salvador","292740817A",73.379042869
"28","Salvador","292740818A",90.774811486
"29","Senhor do Bonfim","293010501A",261.032379739
"30","Vitória da Conquista","293330701A",43.903844384
