"","municipio","codEstacao","PrecM"
"1","AQUIDABÃ","280020901C",13.6
"2","ARACAJU","280030801A",147.2
"3","ARACAJU","280030802A",121.4
"4","ARACAJU","280030803A",153.2
"5","ARACAJU","280030804A",0
"6","CANHOBA","280110801C",45.6
"7","CARIRA","280140501C",49
"8","FREI PAULO","280230401C",58.4
"9","GARARU","280240301C",39
"10","ITABI","280310401C",5.6
"11","MARUIM","280400301A",127.6
"12","NOSSA SENHORA APARECIDA","280445801C",57.2
"13","NOSSA SENHORA DAS DORES","280460701C",64.6
"14","PORTO DA FOLHA","280560401C",24.4
"15","POÇO REDONDO","280540601A",29.2
"16","POÇO REDONDO","280540601U",7.2
"17","POÇO VERDE","280550501U",29.8
"18","PROPRIÁ","280570301C",58
"19","RIBEIRÓPOLIS","280600801C",54.4
"20","TOBIAS BARRETO","280740201C",37.8
