"","municipio","codEstacao","PrecM"
"1","ABAÍRA","290010801C",7.4
"2","ADUSTINA","290035501C",33.6
"3","AMARGOSA","290100701C",132.2
"4","AMÉRICA DOURADA","290115501C",1
"5","ANAGÉ","290120501C",16
"6","ANDARAÍ","290130401C",24.6
"7","ANTÔNIO CARDOSO","290170001C",99.2
"8","ARACATU","290200501C",7.2
"9","BARRA DA ESTIVA","290280701U",59.2
"10","BARRA DO CHOÇA","290290601C",37.2
"11","BARRO ALTO","290323501C",7.6
"12","BELMONTE","290340901A",115.71
"13","BOA VISTA DO TUPIM","290380501U",24.2
"14","BOM JESUS DA SERRA","290395301C",14.8
"15","BONITO","290405001C",89.8
"16","BOQUIRA","290410001C",1
"17","BREJÕES","290430801C",46.4
"18","CABACEIRAS DO PARAGUAÇU","290485201C",113.8
"19","CACULÉ","290500801C",1.2
"20","CAETITÉ","290520601U",0.8
"21","CALDEIRÃO GRANDE","290550301C",15
"22","CAMACAN","290560201A",91.86
"23","CAMACAN","290560202A",106.73
"24","CAMAÇARI","290570101H",120.4
"25","CANARANA","290620401C",4
"26","CANDEIAS","290650101A",20.94
"27","CANDEIAS","290650104A",105.72
"28","CANDEIAS","290650105A",86.92
"29","CANSANÇÃO","290680801C",27.2
"30","CANUDOS","290682401C",5.2
"31","CAPIM GROSSO","290687301C",0.4
"32","CARAÍBAS","290689901C",8.4
"33","CASTRO ALVES","290730101C",70.8
"34","CENTRAL","290760801C",0.6
"35","CHORROCHÓ","290770701C",0.8
"36","CONCEIÇÃO DO COITÉ","290840801C",34.4
"37","CONDEÚBA","290870501C",1.6
"38","CORONEL JOÃO SÁ","290920801C",19.6
"39","CURAÇÁ","290990101C",0.8
"40","EUCLIDES DA CUNHA","291070101C",1.8
"41","FEIRA DE SANTANA","291080001U",42.2
"42","FÁTIMA","291075001C",21.2
"43","GANDU","291120401A",117.06
"44","GAVIÃO","291125301C",2.6
"45","GENTIO DO OURO","291130301C",0.6
"46","GUAJERU","291165901C",1
"47","IAÇU","291190701C",41.4
"48","IBICOARA","291220201C",54.2
"49","IBITITÁ","291310101U",1.4
"50","ILHÉUS","291360601A",197.24
"51","ILHÉUS","291360602A",184.51
"52","IPECAETÁ","291380401C",117.4
"53","IPIRÁ","291400001C",64.4
"54","IRAJUBA","291420801C",44.2
"55","IRAMAIA","291430701U",24.4
"56","IRAQUARA","291440601C",18.8
"57","IRECÊ","291460401C",3.8
"58","ITABUNA","291480201A",109.43
"59","ITABUNA","291480202A",96.36
"60","ITABUNA","291480202H",93.4
"61","ITABUNA","291480203A",86.14
"62","ITAETÉ","291500701C",33.4
"63","ITAGIMIRIM","291530401A",46.41
"64","ITAMBÉ","291580901C",28
"65","ITAPETINGA","291640101A",26.33
"66","ITAPETINGA","291640103H",31.4
"67","ITAPICURU","291650001C",38.6
"68","ITARANTIM","291680701C",29.4
"69","ITATIM","291685601C",20
"70","ITIRUÇU","291690601C",49.6
"71","ITORORÓ","291710201C",45.8
"72","JACOBINA","291750801C",45
"73","JAGUAQUARA","291760701C",36.6
"74","JAGUARARI","291770601U",20.8
"75","JEQUIÉ","291800101U",18.2
"76","JEREMOABO","291810001C",43
"77","JOÃO DOURADO","291835701C",2.8
"78","JUAZEIRO","291840701A",0.6
"79","JUAZEIRO","291840702A",0
"80","JUAZEIRO","291840703A",0.4
"81","JUAZEIRO","291840704A",0.8
"82","LAFAIETE COUTINHO","291870401C",60.6
"83","LAJEDINHO","291900901A",29.4
"84","LAJEDO DO TABOCAL","291905801C",58.8
"85","LAMARÃO","291910801C",12.6
"86","LAPÃO","291915701A",1
"87","LAURO DE FREITAS","291920701A",52.33
"88","LAURO DE FREITAS","291920702A",116.06
"89","LAURO DE FREITAS","291920703A",150.66
"90","LAURO DE FREITAS","291920704H",140
"91","LAURO DE FREITAS","291920705A",178.46
"92","LENÇÓIS","291930601C",56.2
"93","LICÍNIO DE ALMEIDA","291940501C",5.6
"94","LIVRAMENTO DE NOSSA SENHORA","291950401U",0.8
"95","MACAJUBA","291960301C",48.4
"96","MACAÚBAS","291980101U",0.2
"97","MACURURÉ","291990001U",2.2
"98","MAIRI","292010601C",78.6
"99","MANOEL VITORINO","292040301C",6
"100","MARACÁS","292050201C",33
"101","MARAGOGIPE","292060101A",132.85
"102","MEDEIROS NETO","292110401A",25.11
"103","MIGUEL CALMON","292120301C",13.8
"104","MUCUGÊ","292190601C",60.4
"105","MUNDO NOVO","292210201C",93.8
"106","NAZARÉ","292250801A",5.22
"107","NOVA CANAÃ","292270601C",88
"108","NOVA ITARANA","292280501C",20.4
"109","NOVA REDENÇÃO","292285401C",23.2
"110","NOVA VIÇOSA","292300102A",44.81
"111","NOVA VIÇOSA","292300103A",40.87
"112","OLINDINA","292310001C",46.8
"113","OLIVEIRA DOS BREJINHOS","292320901C",0.2
