"","municipio","codEstacao","PrecM"
"1","ALCÂNTARA","210020401A",2.8
"2","ALTO ALEGRE DO MARANHÃO","210043601A",0
"3","ALTO ALEGRE DO PINDARÉ","210047701A",0
"4","ALTO PARNAÍBA","210050102A",0
"5","APICUM-AÇU","210083201A",12.8
"6","ARAIOSES","210090701A",13.8
"7","ARAME","210095601A",1.2
"8","ARARI","210100401A",0.4
"9","BACURI","210130101A",20.2
"10","BALSAS","210140001A",0
"11","BELA VISTA DO MARANHÃO","210177201A",4
"12","BENEDITO LEITE","210180601A",0
"13","BOA VISTA DO GURUPI","210197001A",45.4
"14","BREJO","210210102A",0
"15","BURITI","210220001A",0
"16","BURITICUPU","210232501A",0
"17","CAJARI","210250701A",24
"18","CANTANHEDE","210270501A",1
"19","CAXIAS","210300001A",0
"20","CAXIAS","210300002A",0
"21","CAXIAS","210300003A",0
"22","CENTRO DO GUILHERME","210315801A",31.6
"23","CHAPADINHA","210320801A",0
"24","CHAPADINHA","210320802A",0
"25","CODÓ","210330701A",2.8
"26","CODÓ","210330702A",0.6
"27","COELHO NETO","210340601A",1.6
"28","COLINAS","210350501A",0
"29","CONCEIÇÃO DO LAGO-AÇU","210355401A",4.2
"30","COROATÁ","210360401A",0
"31","FORTALEZA DOS NOGUEIRAS","210410701A",0
"32","FORTUNA","210420601A",0
"33","GRAJAÚ","210480001A",0
"34","GRAJAÚ","210480002A",0
"35","ICATU","210510401A",18.8
"36","IGARAPÉ DO MEIO","210515301A",0
"37","IMPERATRIZ","210530201A",0
"38","IMPERATRIZ","210530202A",0
"39","IMPERATRIZ","210530203A",0
"40","IMPERATRIZ","210530204A",0
"41","ITAPECURU MIRIM","210540101A",0
"42","JATOBÁ","210545001A",0
"43","LAGO DA PEDRA","210570801A",0
"44","LAGO DO JUNCO","210580701A",0.4
"45","LAGO DOS RODRIGUES","210594801A",0
"46","LAGO VERDE","210590601A",0
"47","LAGOA GRANDE DO MARANHÃO","210596302A",0
"48","MAGALHÃES DE ALMEIDA","210630001A",73.6
"49","MARAJÁ DO SENA","210635902A",0.4
"50","MATÕES","210660701A",0
"51","MATÕES DO NORTE","210663101A",3.6
"52","MIRADOR","210670601A",1.4
"53","MIRANDA DO NORTE","210675501A",0.2
"54","MIRINZAL","210680501A",27.4
"55","MONÇÃO","210690401A",0
"56","NINA RODRIGUES","210720901A",0
"57","OLINDA NOVA DO MARANHÃO","210745601A",44.4
"58","PALMEIRÂNDIA","210760501A",18.6
"59","PARNARAMA","210780301A",0
"60","PEDREIRAS","210820701A",0
"61","PENALVA","210830601A",19.2
"62","PERITORÓ","210845401A",0
"63","PINDARÉ-MIRIM","210850401A",0
"64","PIO XII","210870201A",23.6
"65","PIRAPEMAS","210880101A",1.6
"66","POÇÃO DE PEDRAS","210890001A",0
"67","PRESIDENTE DUTRA","210910601A",0
"68","PRESIDENTE VARGAS","210930401A",0
"69","RAPOSA","210945201A",2.8
"70","ROSÁRIO","210960101A",56.2
"71","SANTA FILOMENA DO MARANHÃO","210975901A",0
"72","SANTA HELENA","210980901A",20.8
"73","SANTA LUZIA","211000501A",0.4
"74","SANTA QUITÉRIA DO MARANHÃO","211010401A",4
"75","SANTO AMARO DO MARANHÃO","211027802A",4.97
"76","SATUBINHA","211172201A",0.4
"77","SÃO FÉLIX DE BALSAS","211080701A",0
"78","SÃO LUÍS","211130002A",0
"79","SÃO LUÍS","211130003A",0
"80","SÃO LUÍS","211130004A",11
"81","SÃO LUÍS","211130005A",3.4
"82","SÃO LUÍS","211130006A",3.6
"83","SÃO LUÍS","211130007A",9.8
"84","SÃO LUÍS","211130008A",2.6
"85","SÃO LUÍS","211130010A",16.8
"86","SÃO MATEUS DO MARANHÃO","211150801A",0
"87","SÃO PEDRO DA ÁGUA BRANCA","211153202A",2.36
"88","TIMBIRAS","211210001A",0.8
"89","TIMON","211220901A",0
"90","TRIZIDELA DO VALE","211223301A",0
"91","TUFILÂNDIA","211227401A",9
"92","TURILÂNDIA","211245601A",29.4
"93","VARGEM GRANDE","211270401A",0
"94","VIANA","211280301A",12.4
"95","VITÓRIA DO MEARIM","211290201A",5.4
