"","municipio","codEstacao","PrecM"
"1","ALTO ALEGRE DO MARANHÃO","210043601A",1.6
"2","ALTO ALEGRE DO PINDARÉ","210047701A",0.8
"3","ALTO PARNAÍBA","210050102A",1.38
"4","APICUM-AÇU","210083201A",43
"5","ARAIOSES","210090701A",7
"6","ARAME","210095601A",12.2
"7","BACURI","210130101A",3.4
"8","BALSAS","210140001A",3
"9","BELA VISTA DO MARANHÃO","210177201A",4
"10","BENEDITO LEITE","210180601A",4.8
"11","BREJO","210210102A",859.15
"12","BURITI","210220001A",7.2
"13","BURITICUPU","210232501A",27
"14","CANTANHEDE","210270501A",17.4
"15","CAXIAS","210300001A",2.2
"16","CAXIAS","210300003A",2.8
"17","CENTRO DO GUILHERME","210315801A",2
"18","CHAPADINHA","210320801A",31.6
"19","CHAPADINHA","210320802A",0.8
"20","CODÓ","210330701A",13
"21","CODÓ","210330702A",44
"22","COELHO NETO","210340601A",18.2
"23","COLINAS","210350501A",0.4
"24","COROATÁ","210360401A",10
"25","DUQUE BACELAR","210390101A",16.8
"26","FORTALEZA DOS NOGUEIRAS","210410701A",0.2
"27","FORTUNA","210420601A",3.6
"28","GRAJAÚ","210480001A",8
"29","ICATU","210510401A",16.8
"30","IGARAPÉ DO MEIO","210515301A",0.6
"31","IMPERATRIZ","210530201A",4.4
"32","IMPERATRIZ","210530202A",1.2
"33","IMPERATRIZ","210530203A",1.6
"34","IMPERATRIZ","210530204A",2.2
"35","ITAPECURU MIRIM","210540101A",40.2
"36","JATOBÁ","210545001A",4.4
"37","LAGO DA PEDRA","210570801A",7.2
"38","LAGO DO JUNCO","210580701A",2
"39","LAGO DOS RODRIGUES","210594801A",12.4
"40","LAGO VERDE","210590601A",0.4
"41","LAGOA GRANDE DO MARANHÃO","210596302A",0.2
"42","MAGALHÃES DE ALMEIDA","210630001A",24
"43","MARAJÁ DO SENA","210635902A",7.91
"44","MATÕES","210660701A",1.4
"45","MATÕES DO NORTE","210663101A",4.4
"46","MIRADOR","210670601A",0
"47","MIRANDA DO NORTE","210675501A",3.8
"48","MIRINZAL","210680501A",33.4
"49","MONÇÃO","210690401A",1.6
"50","OLINDA NOVA DO MARANHÃO","210745601A",50.4
"51","PALMEIRÂNDIA","210760501A",21.2
"52","PARNARAMA","210780301A",0.2
"53","PENALVA","210830601A",6.4
"54","PINDARÉ-MIRIM","210850401A",2.2
"55","PRESIDENTE DUTRA","210910601A",2.2
"56","PRESIDENTE VARGAS","210930401A",22.6
"57","RAPOSA","210945201A",0.4
"58","SANTA FILOMENA DO MARANHÃO","210975901A",6.2
"59","SANTA HELENA","210980901A",36.6
"60","SANTA LUZIA","211000501A",6
"61","SANTA QUITÉRIA DO MARANHÃO","211010401A",49
"62","SANTO AMARO DO MARANHÃO","211027802A",0
"63","SATUBINHA","211172201A",1.4
"64","SÃO FÉLIX DE BALSAS","211080701A",0
"65","SÃO LUÍS","211130002A",104.8
"66","SÃO LUÍS","211130003A",111.8
"67","SÃO LUÍS","211130004A",109.6
"68","SÃO LUÍS","211130005A",68.6
"69","SÃO LUÍS","211130006A",118.2
"70","SÃO LUÍS","211130007A",63.6
"71","SÃO LUÍS","211130008A",136.8
"72","SÃO LUÍS","211130009A",152.8
"73","SÃO LUÍS","211130010A",185.8
"74","SÃO MATEUS DO MARANHÃO","211150801A",9
"75","SÃO PEDRO DA ÁGUA BRANCA","211153202A",3.77
"76","TIMBIRAS","211210001A",10.2
"77","TIMON","211220901A",0.8
"78","TUFILÂNDIA","211227401A",1
"79","VARGEM GRANDE","211270401A",41.2
"80","VIANA","211280301A",0.2
"81","VITÓRIA DO MEARIM","211290201A",8
