"","municipio","codEstacao","PrecM"
"1","ACARAÚ","230020001A",0
"2","ALTO SANTO","230070501C",1.4
"3","AMONTADA","230075401A",37.48
"4","AMONTADA","230075402A",0
"5","AMONTADA","230075403A",38.4
"6","AURORA","230170301U",20
"7","BATURITÉ","230210701A",80.4
"8","BELA CRUZ","230230501A",79.99
"9","BOA VIAGEM","230240401A",23.92
"10","CANINDÉ","230280002A",31.6
"11","CARIDADE","230300601A",11.6
"12","CAUCAIA","230370901A",118.26
"13","CAUCAIA","230370902A",72.22
"14","CAUCAIA","230370903A",93.91
"15","CAUCAIA","230370903H",92.2
"16","CAUCAIA","230370905A",22.32
"17","CAUCAIA","230370906A",122.56
"18","CHAVAL","230390701A",4.6
"19","COREAÚ","230400401A",3.2
"20","CRATEÚS","230410301A",21.8
"21","CRATEÚS","230410301C",0.8
"22","CRATEÚS","230410302A",14
"23","CRATO","230420201A",14.17
"24","CRATO","230420202A",31.76
"25","CRATO","230420204H",29.2
"26","FORQUILHA","230435001A",22.2
"27","FORTALEZA","230440001A",84.1
"28","FORTALEZA","230440004A",64.01
"29","FORTALEZA","230440006A",30.17
"30","FORTALEZA","230440009A",108.73
"31","FORTALEZA","230440011A",13.34
"32","FORTALEZA","230440014A",89.65
"33","FORTALEZA","230440016A",115.59
"34","GRANJA","230470701A",8.4
"35","GRANJA","230470702A",10.4
"36","GUARAMIRANGA","230510001C",0
"37","ICAPUÍ","230535701C",2.2
"38","ICÓ","230540701A",25
"39","ICÓ","230540702A",26.2
"40","IGUATU","230550602A",5.6
"41","IPUEIRAS","230590201U",11
"42","IRAUÇUBA","230610801A",23.29
"43","IRAUÇUBA","230610801C",0
"44","ITAIÇABA","230620701A",26
"45","ITAPIÚNA","230650401U",3.4
"46","JAGUARETAMA","230670201C",10.4
"47","JAGUARIBARA","230680101C",0.2
"48","JAGUARIBE","230690001C",0.8
"49","JAGUARUANA","230700701A",26.53
"50","JAGUARUANA","230700702A",20.29
"51","JAGUARUANA","230700703A",19.3
"52","JAGUARUANA","230700704A",42.77
"53","JAGUARUANA","230700705A",30.04
"54","JAGUARUANA","230700706A",26.47
"55","JARDIM","230710601U",100.8
"56","JATI","230720501C",0
"57","JUAZEIRO DO NORTE","230730401A",10.7
"58","LAVRAS DA MANGABEIRA","230750201A",9.6
"59","LAVRAS DA MANGABEIRA","230750207H",8
"60","LIMOEIRO DO NORTE","230760101A",47.14
"61","MADALENA","230763501A",50.8
"62","MADALENA","230763501U",56.2
"63","MARACANAÚ","230765001A",61.6
"64","MARACANAÚ","230765002A",113.2
"65","MARACANAÚ","230765003A",105.6
"66","MARACANAÚ","230765004A",113.2
"67","MARANGUAPE","230770001A",102.4
"68","MARANGUAPE","230770002A",31
"69","MARCO","230780901A",78.12
"70","MAURITI","230810401A",23.85
"71","MERUOCA","230820301A",38
"72","MISSÃO VELHA","230840101A",5
"73","MISSÃO VELHA","230840101C",0
"74","MORADA NOVA","230870801C",6.2
"75","MORADA NOVA","230870802A",48.56
"76","MORADA NOVA","230870803A",11.47
"77","MORADA NOVA","230870804A",97.26
"78","MORADA NOVA","230870805A",92.62
"79","MORADA NOVA","230870809H",10.8
"80","MORAÚJO","230880701A",3.6
"81","NOVO ORIENTE","230940901U",20
"82","OCARA","230945801C",44.8
"83","PACAJUS","230960701C",60.6
"84","PACOTI","230980501A",178.6
"85","PACUJÁ","230990401A",7.6
"86","PARAMOTI","231040701C",1.6
"87","PEDRA BRANCA","231050601A",84.95
"88","PEDRA BRANCA","231050602A",75.43
"89","PEREIRO","231080301C",0.2
"90","PIQUET CARNEIRO","231090201C",40.4
"91","QUIXELÔ","231135501C",0
"92","QUIXERAMOBIM","231140501A",72.78
"93","QUIXERAMOBIM","231140501C",70.8
"94","QUIXERÉ","231150401A",37.2
"95","REDENÇÃO","231160301C",0.2
"96","RUSSAS","231180101A",41
"97","RUSSAS","231180101U",6
"98","RUSSAS","231180102A",25.4
"99","SABOEIRO","231190001U",0
"100","SANTANA DO ACARAÚ","231200701A",17.56
"101","SANTANA DO ACARAÚ","231200701U",0
"102","SENADOR POMPEU","231270001A",55.75
"103","SOBRAL","231290801A",12.63
"104","SOBRAL","231290802A",55.9
"105","TABULEIRO DO NORTE","231310401A",37
"106","UMARI","231370801C",0
"107","VIÇOSA DO CEARÁ","231410201A",33.6
"108","VIÇOSA DO CEARÁ","231410202A",33
