"","municipio","codEstacao","PrecM"
"1","ALTO DO RODRIGUES","240070301A",0
"2","APODI","240100801A",0.2
"3","AÇU","240020801A",0
"4","CANGUARETAMA","240220401A",60.09
"5","CANGUARETAMA","240220402A",57.55
"6","CEARÁ-MIRIM","240260001A",16.59
"7","CEARÁ-MIRIM","240260002A",34.32
"8","GOIANINHA","240420001A",29.44
"9","IPANGUAÇU","240470501A",0
"10","JARDIM DE PIRANHAS","240560301A",0
"11","MOSSORÓ","240800302A",0
"12","MOSSORÓ","240800303A",0
"13","MOSSORÓ","240800304A",0
"14","MOSSORÓ","240800305A",0
"15","MOSSORÓ","240800306A",0
"16","MOSSORÓ","240800307A",0
"17","MOSSORÓ","240800308A",0
"18","NATAL","240810201A",37.47
"19","NATAL","240810202A",22.29
"20","NATAL","240810203A",44.4
"21","NATAL","240810204A",1.38
"22","NATAL","240810205A",51.64
"23","NATAL","240810206A",26.63
"24","NATAL","240810207A",47.71
"25","NATAL","240810208A",47.45
"26","PATU","240930801A",0.6
"27","PENDÊNCIAS","240990201A",0
"28","VÁRZEA","241470401A",15.21
