"","municipio","codEstacao","PrecM"
"1","AFONSO BEZERRA","240030701C",16.8
"2","APODI","240100801A",186.72
"3","AUGUSTO SEVERO","240130501C",0.4
"4","BAÍA FORMOSA","240140401A",215.11
"5","CAICÓ","240200601A",22.58
"6","CAICÓ","240200601C",0
"7","CAICÓ","240200602A",70.65
"8","CANGUARETAMA","240220401A",186.22
"9","CANGUARETAMA","240220402A",200.75
"10","CARAÚBAS","240230301C",9.8
"11","CEARÁ-MIRIM","240260002A",168.45
"12","GOIANINHA","240420001A",134.95
"13","GUAMARÉ","240450701A",14.88
"14","IPANGUAÇU","240470501A",78.07
"15","ITAJÁ","240485301A",80.51
"16","JARDIM DE PIRANHAS","240560301A",15.4
"17","JARDIM DO SERIDÓ","240570201C",0.8
"18","JOÃO CÂMARA","240580101A",57.98
"19","JOÃO CÂMARA","240580101C",0.6
"20","JUCURUTU","240610601A",202.56
"21","MACAU","240720301A",9.56
"22","MAXARANGUAPE","240750001A",164.9
"23","MOSSORÓ","240800302A",93.61
"24","MOSSORÓ","240800303A",23.79
"25","MOSSORÓ","240800304A",113.61
"26","MOSSORÓ","240800305A",131.08
"27","MOSSORÓ","240800306A",91.29
"28","MOSSORÓ","240800308A",146.97
"29","NATAL","240810201A",200.58
"30","NATAL","240810202A",188.06
"31","NATAL","240810203A",28.31
"32","NATAL","240810204A",53.42
"33","NATAL","240810205A",180.42
"34","NATAL","240810206A",214.78
"35","NATAL","240810207A",182.87
"36","NATAL","240810208A",2.8
"37","NOVA CRUZ","240830001C",51.6
"38","PATU","240930801A",202.07
"39","PENDÊNCIAS","240990201A",17.94
"40","PORTO DO MANGUE","241025601A",29.77
"41","RIACHO DE SANTANA","241080101C",21
"42","SANTA CRUZ","241120501C",26.2
"43","SÃO JOSÉ DE MIPIBU","241220301A",208.46
"44","SÃO JOSÉ DE MIPIBU","241220302A",123.05
"45","SÃO PAULO DO POTENGI","241260901C",21.8
"46","SÃO RAFAEL","241280701A",75.57
"47","TOUROS","241440701A",169.74
"48","UPANEMA","241460501A",147.67
"49","VÁRZEA","241470401A",85.02
