"","municipio","codEstacao","PrecM"
"1","AFONSO BEZERRA","240030701C",18
"2","AUGUSTO SEVERO","240130501C",0.6
"3","BAÍA FORMOSA","240140401A",23.66
"4","CAICÓ","240200601A",92.34
"5","CAICÓ","240200601C",0
"6","CAICÓ","240200602A",44.25
"7","CANGUARETAMA","240220401A",280.85
"8","CARAÚBAS","240230301C",3.2
"9","CARNAUBAIS","240250101A",56.28
"10","EXTREMOZ","240360801A",135.01
"11","GOIANINHA","240420001A",229.33
"12","GUAMARÉ","240450701A",74.08
"13","IPANGUAÇU","240470501A",49.92
"14","ITAJÁ","240485301A",83.32
"15","JOÃO CÂMARA","240580101A",266.62
"16","JOÃO CÂMARA","240580101C",0
"17","JUCURUTU","240610601A",77.07
"18","LAGOA NOVA","240650201C",0
"19","MACAU","240720301A",99.83
"20","MAXARANGUAPE","240750001A",139.28
"21","MOSSORÓ","240800302A",79.56
"22","MOSSORÓ","240800303A",114.64
"23","MOSSORÓ","240800304A",88.89
"24","MOSSORÓ","240800306A",164.01
"25","NATAL","240810201A",128.18
"26","NATAL","240810202A",34.89
"27","NATAL","240810203A",410.51
"28","NATAL","240810204A",430.79
"29","NATAL","240810205A",147.91
"30","NATAL","240810206A",199.01
"31","NATAL","240810207A",42.17
"32","NATAL","240810208A",146.76
"33","NOVA CRUZ","240830001C",116
"34","PARELHAS","240890401C",0.2
"35","PATU","240930801A",80.74
"36","PORTO DO MANGUE","241025601A",40.08
"37","RIACHO DE SANTANA","241080101C",18.8
"38","SANTA CRUZ","241120501C",87.4
"39","SÃO JOSÉ DE MIPIBU","241220301A",7.7
"40","SÃO JOSÉ DE MIPIBU","241220302A",16.58
"41","SÃO PAULO DO POTENGI","241260901C",124.8
"42","SÃO RAFAEL","241280701A",27.81
"43","TOUROS","241440701A",65.64
"44","UPANEMA","241460501A",133.8
"45","VÁRZEA","241470401A",6.35
