"","municipio","codEstacao","PrecM"
"1","AQUIDABÃ","280020901C",51
"2","ARACAJU","280030801A",89.4
"3","ARACAJU","280030802A",124.8
"4","ARACAJU","280030803A",104
"5","ARACAJU","280030804A",0
"6","CANHOBA","280110801C",47
"7","CARIRA","280140501C",43
"8","FREI PAULO","280230401C",42.6
"9","GARARU","280240301C",35.4
"10","ITABI","280310401C",41.8
"11","MARUIM","280400301A",192.6
"12","NOSSA SENHORA APARECIDA","280445801C",32
"13","NOSSA SENHORA DAS DORES","280460701C",53.6
"14","PORTO DA FOLHA","280560401C",33
"15","POÇO REDONDO","280540601A",33.2
"16","PROPRIÁ","280570301C",45.4
"17","RIBEIRÓPOLIS","280600801C",52.2
"18","TOBIAS BARRETO","280740201C",145.8
