"","municipio","codEstacao","PrecM"
"1","ACARAÚ","230020001A",174.8
"2","ACARAÚ","230020002A",105.2
"3","ALCÂNTARAS","230050701C",7
"4","ALTO SANTO","230070501C",13.8
"5","AMONTADA","230075401A",82.34
"6","AMONTADA","230075401H",0
"7","AMONTADA","230075402A",106.41
"8","AMONTADA","230075403A",122.12
"9","ARACATI","230110901C",0
"10","ARACOIABA","230120801C",0
"11","ASSARÉ","230160401C",0.2
"12","AURORA","230170301A",35.97
"13","AURORA","230170301U",28.6
"14","BANABUIÚ","230185101C",0
"15","BARBALHA","230190101C",52
"16","BARRO","230200801C",5.4
"17","BATURITÉ","230210701A",116.8
"18","BATURITÉ","230210701C",105.6
"19","BOA VIAGEM","230240401A",72.95
"20","CAMPOS SALES","230270101C",1.8
"21","CANINDÉ","230280001A",66
"22","CANINDÉ","230280001C",5.8
"23","CANINDÉ","230280002A",80.4
"24","CARIDADE","230300601A",56.6
"25","CARIRIAÇU","230320401C",0
"26","CARIRÉ","230310501C",4.6
"27","CATARINA","230360001C",33.6
"28","CAUCAIA","230370901A",292.04
"29","CAUCAIA","230370902A",287.67
"30","CAUCAIA","230370903A",292.07
"31","CAUCAIA","230370904A",40.7
"32","CAUCAIA","230370905A",0.2
"33","CAUCAIA","230370906A",224.83
"34","CEDRO","230380801U",423.8
"35","CHAVAL","230390701A",212
"36","COREAÚ","230400401A",126
"37","COREAÚ","230400401C",87.6
"38","CRATEÚS","230410301A",37.6
"39","CRATEÚS","230410302A",0.2
"40","CRATO","230420201A",65.78
"41","CRATO","230420202A",52.54
"42","FARIAS BRITO","230430101C",10.6
"43","FORQUILHA","230435001A",197.74
"44","FORQUILHA","230435001C",113.6
"45","FORTALEZA","230440001A",25.03
"46","FORTALEZA","230440004A",343.54
"47","FORTALEZA","230440005A",142.12
"48","FORTALEZA","230440005H",0.2
"49","FORTALEZA","230440006A",23.48
"50","FORTALEZA","230440008A",182.03
"51","FORTALEZA","230440009A",163.05
"52","FORTALEZA","230440010A",86.38
"53","FORTALEZA","230440011A",185.66
"54","FORTALEZA","230440012A",0
"55","FORTALEZA","230440015A",238.56
"56","FORTALEZA","230440016A",313.47
"57","FRECHEIRINHA","230450901C",0
"58","GENERAL SAMPAIO","230460801C",0
"59","GRANJA","230470702A",92.6
"60","GUARACIABA DO NORTE","230500101C",126.8
"61","IBICUITINGA","230533201C",0
"62","ICAPUÍ","230535701C",113
"63","ICÓ","230540701A",70.6
"64","ICÓ","230540701C",63
"65","ICÓ","230540702A",113
"66","IGUATU","230550601A",51.4
"67","IGUATU","230550602A",27.4
"68","IRACEMA","230600901C",0
"69","IRAUÇUBA","230610801A",53.09
"70","ITAIÇABA","230620701A",26.6
"71","ITAPAGÉ","230630601C",86.4
"72","ITAPIPOCA","230640501C",0
"73","ITATIRA","230660301C",16.8
"74","JAGUARETAMA","230670201C",0
"75","JAGUARIBARA","230680101C",72.4
"76","JAGUARIBE","230690001C",25.2
