"","municipio","codEstacao","PrecM"
"1","ACARAÚ","230020001A",0
"2","AMONTADA","230075401A",92.3
"3","AMONTADA","230075402A",0
"4","AMONTADA","230075403A",146.37
"5","AURORA","230170301A",112.28
"6","BARBALHA","230190101C",0.4
"7","BATURITÉ","230210701A",269.6
"8","BELA CRUZ","230230501A",82.35
"9","BOA VIAGEM","230240401A",72.08
"10","CANINDÉ","230280002A",99.6
"11","CARIDADE","230300601A",157.6
"12","CARIRIAÇU","230320401C",0
"13","CAUCAIA","230370901A",207.96
"14","CAUCAIA","230370902A",205.09
"15","CAUCAIA","230370903A",144.13
"16","CAUCAIA","230370903H",111.6
"17","CAUCAIA","230370904A",0
"18","CAUCAIA","230370905A",240.26
"19","CAUCAIA","230370906A",183.53
"20","CHAVAL","230390701A",211.8
"21","COREAÚ","230400401A",77
"22","CRATEÚS","230410301A",183
"23","CRATEÚS","230410301C",6
"24","CRATEÚS","230410302A",146.4
"25","CRATO","230420201A",372.04
"26","CRATO","230420202A",0
"27","CRATO","230420204H",6.2
"28","FORQUILHA","230435001A",73.1
"29","FORTALEZA","230440001A",114.59
"30","FORTALEZA","230440004A",165.6
"31","FORTALEZA","230440006A",215.23
"32","FORTALEZA","230440007A",4.2
"33","FORTALEZA","230440009A",114.37
"34","FORTALEZA","230440011A",224.31
"35","FORTALEZA","230440014A",199.7
"36","FORTALEZA","230440015A",0
"37","FORTALEZA","230440016A",249.22
"38","GRANJA","230470701A",114.2
"39","GRANJA","230470702A",95
"40","GROAÍRAS","230490506H",29.2
"41","ICÓ","230540701A",100
"42","ICÓ","230540701C",0.4
"43","ICÓ","230540702A",90.6
"44","IGUATU","230550601A",53.6
"45","INDEPENDÊNCIA","230560501C",8.2
"46","IPUEIRAS","230590201U",46.4
"47","IRAUÇUBA","230610801A",120.75
"48","IRAUÇUBA","230610801C",0
"49","ITAIÇABA","230620701A",184.2
"50","JAGUARETAMA","230670201C",0
"51","JAGUARUANA","230700701A",0.4
"52","JAGUARUANA","230700702A",0.2
"53","JAGUARUANA","230700704A",116.64
"54","JAGUARUANA","230700705A",189.79
"55","JAGUARUANA","230700706A",15.77
"56","JATI","230720501C",0
"57","JUAZEIRO DO NORTE","230730401A",67.84
"58","LAVRAS DA MANGABEIRA","230750201A",80.6
"59","LIMOEIRO DO NORTE","230760101A",228.11
"60","MADALENA","230763501A",29.2
"61","MARACANAÚ","230765002A",174.8
"62","MARACANAÚ","230765003A",209
"63","MARACANAÚ","230765004A",177.4
"64","MARANGUAPE","230770001A",253.4
"65","MARCO","230780901A",78.48
"66","MAURITI","230810401A",61.95
"67","MERUOCA","230820301A",163
"68","MISSÃO VELHA","230840101A",52.8
"69","MORADA NOVA","230870802A",11.4
"70","MORADA NOVA","230870803A",210.57
"71","MORADA NOVA","230870804A",255.41
"72","MORADA NOVA","230870805A",245.13
"73","MORADA NOVA","230870809H",0
"74","MORAÚJO","230880701A",88.4
"75","NOVO ORIENTE","230940901U",21.4
"76","PACUJÁ","230990401A",68
"77","PEDRA BRANCA","231050601A",80.18
"78","PEDRA BRANCA","231050602A",142.64
"79","QUIXELÔ","231135501C",84.8
"80","QUIXERAMOBIM","231140501A",44.77
"81","QUIXERÉ","231150401A",192.8
"82","REDENÇÃO","231160301C",0
"83","RUSSAS","231180101A",128.8
"84","RUSSAS","231180102A",226.8
"85","SANTANA DO ACARAÚ","231200701A",127.04
"86","SENADOR POMPEU","231270001A",157.58
"87","SOBRAL","231290801A",79.34
"88","SOBRAL","231290802A",795.3
"89","TABULEIRO DO NORTE","231310401A",192.2
"90","TABULEIRO DO NORTE","231310401C",14
"91","UMARI","231370801C",0
"92","VIÇOSA DO CEARÁ","231410201A",107.8
"93","VIÇOSA DO CEARÁ","231410202A",76
