"","municipio","codEstacao","PrecM"
"1","ABARÉ","290020701C",0
"2","ABAÍRA","290010801C",2
"3","ADUSTINA","290035501C",5.4
"4","AMARGOSA","290100701C",51
"5","AMÉRICA DOURADA","290115501A",0.2
"6","AMÉRICA DOURADA","290115501C",0.4
"7","ANAGÉ","290120501C",0
"8","ANDARAÍ","290130401C",7.2
"9","ANTAS","290160101C",7.6
"10","ANTÔNIO CARDOSO","290170001C",24.2
"11","BANZAÊ","290265801C",8
"12","BARRA","290270801C",0
"13","BARRA DO CHOÇA","290290601C",2.2
"14","BARRA DO MENDES","290300301C",0
"15","BARRA DO ROCHA","290310201A",74
"16","BARRO ALTO","290323501C",0
"17","BELMONTE","290340901A",142.72
"18","BIRITINGA","290360701C",23.8
"19","BOA VISTA DO TUPIM","290380501U",10.8
"20","BOM JESUS DA LAPA","290390401C",0
"21","BONINAL","290400101C",0
"22","BONITO","290405001C",16.4
"23","BOQUIRA","290410001C",0
"24","BREJÕES","290430801C",35.2
"25","BRUMADO","290460501C",0
"26","CAATIBA","290480301C",21
"27","CABACEIRAS DO PARAGUAÇU","290485201C",45.6
"28","CACHOEIRA","290490201A",45.8
"29","CACULÉ","290500801C",3.2
"30","CAETANOS","290515601C",0
"31","CAFARNAUM","290530501C",0
"32","CALDEIRÃO GRANDE","290550301C",0
"33","CAMACAN","290560201A",89.41
"34","CAMACAN","290560203A",96.34
"35","CAMAMU","290580001A",117.4
"36","CANARANA","290620401C",0
"37","CANDEIAS","290650101A",42.41
"38","CANDIBA","290660001C",0
"39","CANSANÇÃO","290680801C",0
"40","CANUDOS","290682401C",7.6
"41","CAPELA DO ALTO ALEGRE","290685701C",5
"42","CAPIM GROSSO","290687301C",7.8
"43","CARAVELAS","290690701A",48.6
"44","CARAÍBAS","290689901C",0.2
"45","CASA NOVA","290720201U",0
"46","CASTRO ALVES","290730101C",35
"47","CENTRAL","290760801C",0
"48","CHORROCHÓ","290770701C",1.8
"49","CORONEL JOÃO SÁ","290920801C",22.4
"50","CURAÇÁ","290990101C",1.4
"51","CÂNDIDO SALES","290670901C",2.2
"52","CÍCERO DANTAS","290780601C",6.4
"53","DOM BASÍLIO","291010701C",2.4
"54","ELÍSIO MEDRADO","291030501C",15
"55","EUCLIDES DA CUNHA","291070101C",0.8
"56","FÁTIMA","291075001C",1.4
