"","municipio","codEstacao","PrecM"
"1","BELMONTE","290340901A",117.647978105
"2","CAMACAN","290560201A",146.783400028
"3","CAMACAN","290560202A",101.446813924
"4","CAMACAN","290560203A",83.388774845
"5","CANDEIAS","290650101A",153.320032205
"6","CANDEIAS","290650102A",146.417626558
"7","CANDEIAS","290650104A",165.934966496
"8","CANDEIAS","290650105A",186.030944495
"9","GANDU","291120401A",69.221085562
"10","ILHÉUS","291360601A",183.012721997
"11","ILHÉUS","291360602A",185.356212211
"12","ITABUNA","291480201A",181.210318313
"13","ITABUNA","291480202A",124.990313333
"14","ITABUNA","291480203A",85.460455467
"15","ITORORÓ","291710201A",62.760118239
"16","LAURO DE FREITAS","291920701A",196.316710046
"17","LAURO DE FREITAS","291920702A",153.826858677
"18","LAURO DE FREITAS","291920703A",182.47535782
"19","LAURO DE FREITAS","291920704A",190.912764006
"20","LAURO DE FREITAS","291920705A",209.744911254
"21","LAURO DE FREITAS","291920706A",214.864599519
"22","MARAGOGIPE","292060101A",132.286334592
"23","MEDEIROS NETO","292110401A",35.962768576
"24","NAZARÉ","292250801A",195.744962953
"25","NOVA VIÇOSA","292300102A",175.026879951
"26","NOVA VIÇOSA","292300103A",177.745002217
"27","PORTO SEGURO","292530301A",255.177892673
"28","PORTO SEGURO","292530302A",263.059260616
"29","PORTO SEGURO","292530303A",172.263710918
"30","PORTO SEGURO","292530304A",148.498125791
"31","SALVADOR","292740801A",165.781727753
"32","SALVADOR","292740802A",202.282006998
"33","SALVADOR","292740803A",192.588184254
"34","SALVADOR","292740804A",151.580784845
"35","SALVADOR","292740805A",188.943229027
"36","SALVADOR","292740806A",89.44734
"37","SALVADOR","292740808A",161.084535902
"38","SALVADOR","292740810A",222.052848451
"39","SALVADOR","292740811A",231.505308988
"40","SALVADOR","292740812A",211.256792537
"41","SALVADOR","292740814A",190.673999396
"42","SALVADOR","292740815A",172.272012957
"43","SALVADOR","292740816A",202.38008882
"44","SALVADOR","292740817A",175.585241514
"45","SALVADOR","292740818A",175.866215606
"46","SANTA CRUZ CABRÁLIA","292770501A",232.123841141
"47","SENHOR DO BONFIM","293010501A",110.619254981
"48","VALENÇA","293290301A",179.022953747
"49","VITÓRIA DA CONQUISTA","293330701A",27.116968587
