"","municipio","codEstacao","PrecM"
"1","ALCÂNTARA","210020401A",67.4
"2","ALTO ALEGRE DO MARANHÃO","210043601A",17.6
"3","ALTO ALEGRE DO PINDARÉ","210047701A",20.8
"4","APICUM-AÇU","210083201A",93.2
"5","ARAIOSES","210090701A",13.2
"6","ARAME","210095601A",7
"7","ARARI","210100401A",25
"8","BACABAL","210120201A",23.8
"9","BACABAL","210120202A",35.6
"10","BACURI","210130101A",121
"11","BALSAS","210140001A",3.8
"12","BELA VISTA DO MARANHÃO","210177201A",36.8
"13","BENEDITO LEITE","210180601A",1
"14","BOA VISTA DO GURUPI","210197001A",63.4
"15","BREJO","210210101A",11.8
"16","BURITI","210220001A",45
"17","BURITICUPU","210232501A",23.8
"18","CAJARI","210250701A",39.6
"19","CANTANHEDE","210270501A",0
"20","CAXIAS","210300001A",30.4
"21","CAXIAS","210300002A",38
"22","CAXIAS","210300003A",34.4
"23","CENTRO DO GUILHERME","210315801A",73.4
"24","CHAPADINHA","210320801A",6.6
"25","CODÓ","210330701A",27.8
"26","CODÓ","210330702A",36.8
"27","COELHO NETO","210340601A",24.6
"28","COELHO NETO","210340602A",28.6
"29","COLINAS","210350501A",0.4
"30","CONCEIÇÃO DO LAGO-AÇU","210355401A",50.2
"31","COROATÁ","210360401A",1.8
"32","DUQUE BACELAR","210390101A",40
"33","ESPERANTINÓPOLIS","210400801A",23.2
"34","FORTALEZA DOS NOGUEIRAS","210410701A",17.2
"35","FORTUNA","210420601A",11.2
"36","GRAJAÚ","210480001A",2.2
"37","GRAJAÚ","210480002A",2
"38","ICATU","210510401A",54
"39","IGARAPÉ DO MEIO","210515301A",25.4
"40","IMPERATRIZ","210530201A",10.2
"41","IMPERATRIZ","210530202A",10.8
"42","IMPERATRIZ","210530203A",5.4
"43","ITAPECURU MIRIM","210540101A",2.8
"44","JATOBÁ","210545001A",6
"45","LAGO DA PEDRA","210570801A",30
"46","LAGO DO JUNCO","210580701A",29.4
"47","LAGO DOS RODRIGUES","210594801A",29.8
"48","LAGO VERDE","210590601A",20.4
"49","MAGALHÃES DE ALMEIDA","210630001A",19.8
"50","MATÕES","210660701A",4.4
"51","MATÕES DO NORTE","210663101A",22
"52","MIRADOR","210670601A",4.6
"53","MIRANDA DO NORTE","210675501A",19.8
"54","MIRINZAL","210680501A",82
"55","MONÇÃO","210690401A",21
"56","NINA RODRIGUES","210720901A",23.8
"57","OLINDA NOVA DO MARANHÃO","210745601A",18.2
"58","PALMEIRÂNDIA","210760501A",81
"59","PARNARAMA","210780301A",4.6
"60","PAÇO DO LUMIAR","210750601A",74.8
"61","PEDREIRAS","210820701A",10.8
"62","PENALVA","210830601A",17
"63","PERITORÓ","210845401A",34
"64","PINDARÉ-MIRIM","210850401A",31.6
"65","PIO XII","210870201A",23.4
"66","PIRAPEMAS","210880101A",5.4
"67","POÇÃO DE PEDRAS","210890001A",8
"68","PRESIDENTE DUTRA","210910601A",1.2
"69","PRESIDENTE VARGAS","210930401A",17.2
"70","RAPOSA","210945201A",30.8
"71","ROSÁRIO","210960101A",61.8
"72","SANTA FILOMENA DO MARANHÃO","210975901A",7.4
"73","SANTA HELENA","210980901A",59.2
"74","SANTA LUZIA","211000501A",39.6
"75","SANTA QUITÉRIA DO MARANHÃO","211010401A",18
"76","SATUBINHA","211172201A",58.6
"77","SÃO BERNARDO","211060901A",22
"78","SÃO FÉLIX DE BALSAS","211080701A",1.8
"79","SÃO LUÍS","211130002A",53.4
"80","SÃO LUÍS","211130003A",92
"81","SÃO LUÍS","211130004A",93.8
"82","SÃO LUÍS","211130005A",54.2
"83","SÃO LUÍS","211130006A",66.2
"84","SÃO LUÍS","211130007A",74.8
"85","SÃO LUÍS","211130008A",78
"86","SÃO LUÍS","211130009A",70.6
"87","SÃO LUÍS","211130010A",57
"88","SÃO LUÍS","211130011A",44.8
"89","SÃO LUÍS GONZAGA DO MARANHÃO","211140901A",33.2
"90","TIMBIRAS","211210001A",16.2
"91","TIMON","211220901A",32.6
"92","TRIZIDELA DO VALE","211223301A",19.8
"93","TUFILÂNDIA","211227401A",46.4
"94","TURILÂNDIA","211245601A",70.2
"95","VARGEM GRANDE","211270401A",28.6
"96","VIANA","211280301A",41.2
"97","VITÓRIA DO MEARIM","211290201A",42.2
