"","municipio","codEstacao","PrecM"
"1","ALTO ALEGRE DO MARANHÃO","210043601A",337.4
"2","ALTO ALEGRE DO PINDARÉ","210047701A",143.2
"3","ALTO PARNAÍBA","210050102A",69.48
"4","APICUM-AÇU","210083201A",601.6
"5","ARAIOSES","210090701A",293.2
"6","ARAME","210095601A",165.8
"7","ARARI","210100401A",400.4
"8","BACABAL","210120201A",2674.4
"9","BACURI","210130101A",540
"10","BALSAS","210140001A",131
"11","BELA VISTA DO MARANHÃO","210177201A",491.4
"12","BENEDITO LEITE","210180601A",95
"13","BREJO","210210102A",344.19
"14","BURITI","210220001A",217.6
"15","BURITICUPU","210232501A",275.8
"16","CANTANHEDE","210270501A",424
"17","CAXIAS","210300001A",308.4
"18","CAXIAS","210300002A",0
"19","CAXIAS","210300003A",306.2
"20","CENTRO DO GUILHERME","210315801A",0
"21","CHAPADINHA","210320801A",441.2
"22","CHAPADINHA","210320802A",474.33
"23","CODÓ","210330701A",256
"24","CODÓ","210330702A",301.4
"25","COELHO NETO","210340601A",223.2
"26","COELHO NETO","210340602A",230
"27","COLINAS","210350501A",95.6
"28","CONCEIÇÃO DO LAGO-AÇU","210355401A",52.2
"29","COROATÁ","210360401A",443.2
"30","DUQUE BACELAR","210390101A",340
"31","FORTUNA","210420601A",91.4
"32","GRAJAÚ","210480001A",78.6
"33","ICATU","210510401A",505.8
"34","IGARAPÉ DO MEIO","210515301A",353
"35","IMPERATRIZ","210530201A",114.8
"36","IMPERATRIZ","210530202A",109.2
"37","IMPERATRIZ","210530203A",122.6
"38","IMPERATRIZ","210530204A",108.4
"39","ITAPECURU MIRIM","210540101A",316
"40","JATOBÁ","210545001A",63.4
"41","LAGO DA PEDRA","210570801A",219.2
"42","LAGO DO JUNCO","210580701A",203.4
"43","LAGO DOS RODRIGUES","210594801A",212.8
"44","LAGO VERDE","210590601A",259.4
"45","LAGOA GRANDE DO MARANHÃO","210596302A",181.69
"46","MAGALHÃES DE ALMEIDA","210630001A",187
"47","MARAJÁ DO SENA","210635902A",260.69
"48","MATÕES","210660701A",115.2
"49","MATÕES DO NORTE","210663101A",341.4
"50","MIRADOR","210670601A",101.4
"51","MIRANDA DO NORTE","210675501A",449
"52","MIRINZAL","210680501A",419.2
"53","MONÇÃO","210690401A",0.2
"54","OLINDA NOVA DO MARANHÃO","210745601A",0.6
"55","PALMEIRÂNDIA","210760501A",511.6
"56","PARNARAMA","210780301A",168.4
"57","PENALVA","210830601A",0
"58","PINDARÉ-MIRIM","210850401A",315
"59","PIO XII","210870201A",26.4
"60","POÇÃO DE PEDRAS","210890001A",52.4
"61","PRESIDENTE DUTRA","210910601A",224
"62","PRESIDENTE VARGAS","210930401A",409.2
"63","RAPOSA","210945201A",319
"64","SANTA FILOMENA DO MARANHÃO","210975901A",94.8
"65","SANTA HELENA","210980901A",74.6
"66","SANTA LUZIA","211000501A",396.8
"67","SANTA QUITÉRIA DO MARANHÃO","211010401A",270.4
"68","SANTO AMARO DO MARANHÃO","211027802A",0
"69","SATUBINHA","211172201A",521.4
"70","SÃO FÉLIX DE BALSAS","211080701A",78.2
"71","SÃO LUÍS","211130002A",220.4
"72","SÃO LUÍS","211130003A",352.2
"73","SÃO LUÍS","211130004A",360
"74","SÃO LUÍS","211130005A",315.4
"75","SÃO LUÍS","211130006A",320.2
"76","SÃO LUÍS","211130007A",321.6
"77","SÃO LUÍS","211130008A",424.2
"78","SÃO LUÍS","211130009A",419.8
"79","SÃO LUÍS","211130010A",329.8
"80","SÃO MATEUS DO MARANHÃO","211150801A",363.8
"81","SÃO PEDRO DA ÁGUA BRANCA","211153202A",124.05
"82","TIMBIRAS","211210001A",344.6
"83","TIMON","211220901A",300.4
"84","TUFILÂNDIA","211227401A",107.4
"85","TURILÂNDIA","211245601A",80.2
"86","VARGEM GRANDE","211270401A",494.4
"87","VIANA","211280301A",0
"88","VITÓRIA DO MEARIM","211290201A",4875.2
