"","municipio","codEstacao","PrecM"
"1","ALAGOA GRANDE","250030401A",142.8
"2","ALAGOINHA","250050201A",152.6
"3","BARRA DE SANTANA","250157501C",104
"4","BAYEUX","250180701A",372
"5","BAYEUX","250180702A",333.4
"6","BAYEUX","250180703A",319.2
"7","CAAPORÃ","250300101A",301.2
"8","CABEDELO","250320901A",374.8
"9","CABEDELO","250320902A",305.8
"10","CABEDELO","250320903A",0.2
"11","CAMPINA GRANDE","250400901A",109.6
"12","CAMPINA GRANDE","250400902A",116.6
"13","CAMPINA GRANDE","250400903A",119.2
"14","CAMPINA GRANDE","250400904A",108.8
"15","CAMPINA GRANDE","250400905A",103.4
"16","CAMPINA GRANDE","250400906A",120.4
"17","CAMPINA GRANDE","250400907A",111.4
"18","CONCEIÇÃO","250440501C",0
"19","COREMAS","250480101A",104
"20","ESPERANÇA","250600401C",0
"21","JOÃO PESSOA","250750701A",325.4
"22","JOÃO PESSOA","250750702A",316.4
"23","JOÃO PESSOA","250750703A",305
"24","JOÃO PESSOA","250750704A",320
"25","JOÃO PESSOA","250750705A",354.4
"26","JOÃO PESSOA","250750706A",339.4
"27","JOÃO PESSOA","250750707A",309
"28","MARI","250910701A",163.4
"29","MATARACA","250930501A",11.6
"30","MONTEIRO","250970101C",53.2
"31","MULUNGU","250980001A",139.4
"32","PATOS","251080801A",88.8
"33","PATOS","251080802A",51.8
"34","PITIMBU","251190501A",370
"35","REMÍGIO","251270501C",9.8
"36","SALGADO DE SÃO FÉLIX","251310901C",0
"37","SANTA TERESINHA","251380201C",0
"38","SANTANA DE MANGUEIRA","251350501C",2.4
"39","SAPÉ","251530201A",200.4
"40","SOUSA","251620101A",45.8
"41","SOUSA","251620102A",87.2
"42","SÃO BENTO","251390101A",21
"43","SÃO JOSÉ DA LAGOA TAPADA","251420602U",99.6
"44","SÃO MAMEDE","251490901C",0
