"","municipio","codEstacao","PrecM"
"1","ALAGOA GRANDE","250030401A",31.4
"2","ALAGOINHA","250050201A",68.2
"3","BARRA DE SANTA ROSA","250160902U",7
"4","BARRA DE SANTANA","250157501C",18.2
"5","BAYEUX","250180701A",186.2
"6","BAYEUX","250180702A",177.6
"7","BAYEUX","250180703A",176.2
"8","CAAPORÃ","250300101A",186.6
"9","CABEDELO","250320901A",209.6
"10","CABEDELO","250320902A",185.8
"11","CABEDELO","250320903A",268.6
"12","CAMPINA GRANDE","250400901A",36.8
"13","CAMPINA GRANDE","250400902A",25.4
"14","CAMPINA GRANDE","250400903A",27.4
"15","CAMPINA GRANDE","250400904A",29.2
"16","CAMPINA GRANDE","250400905A",25.2
"17","CAMPINA GRANDE","250400906A",20.6
"18","CAMPINA GRANDE","250400907A",20
"19","CATOLÉ DO ROCHA","250430602U",33
"20","CONCEIÇÃO","250440501C",1.4
"21","ESPERANÇA","250600401C",22.4
"22","ITAPORANGA","250700202U",7
"23","JOÃO PESSOA","250750701A",208
"24","JOÃO PESSOA","250750702A",223
"25","JOÃO PESSOA","250750703A",205.8
"26","JOÃO PESSOA","250750704A",208.8
"27","JOÃO PESSOA","250750705A",229.4
"28","JOÃO PESSOA","250750706A",163
"29","JOÃO PESSOA","250750707A",177.8
"30","JUNCO DO SERIDÓ","250780401C",3
"31","JURU","250800001C",0.8
"32","LIVRAMENTO","250850501C",4.8
"33","MARI","250910701A",46.6
"34","MASSARANDUBA","250920601C",12.8
"35","MATARACA","250930501A",203.2
"36","MULUNGU","250980001A",34
"37","PATOS","251080801C",41.4
"38","PICUÍ","251140001C",18
"39","PITIMBU","251190501A",285.4
"40","POMBAL","251210101C",15.2
"41","QUEIMADAS","251250702U",16
"42","REMÍGIO","251270501C",34.2
"43","SANTANA DE MANGUEIRA","251350501C",13.6
"44","SAPÉ","251530201A",63.8
"45","SOLEDADE","251610201C",3.8
"46","SOLÂNEA","251600301C",19.2
"47","SOUSA","251620101C",17
"48","SÃO JOSÉ DA LAGOA TAPADA","251420602U",3.8
"49","SÃO JOSÉ DE PIRANHAS","251450301C",2.6
"50","SÃO JOÃO DO CARIRI","251400801C",4
"51","UMBUZEIRO","251700101C",7.6
"52","VÁRZEA","251710001U",28.2
