"","municipio","codEstacao","PrecM"
"1","ALAGOINHA DO PIAUÍ","220025101C",0
"2","ALTO LONGÁ","220030101A",26.4
"3","ASSUNÇÃO DO PIAUÍ","220105101C",24.2
"4","BARRAS","220120001A",67.55
"5","BATALHA","220150701A",109.4
"6","BETÂNIA DO PIAUÍ","220173901C",0.2
"7","BOQUEIRÃO DO PIAUÍ","220194501A",24.2
"8","BURITI DOS LOPES","220200001A",68.8
"9","BURITI DOS MONTES","220202601C",0
"10","CAJUEIRO DA PRAIA","220208301A",6.8
"11","CANTO DO BURITI","220230701C",0
"12","CASTELO DO PIAUÍ","220260401A",33.4
"13","CAXINGÓ","220265301A",20.2
"14","COCAL","220270301A",39.8
"15","DIRCEU ARCOVERDE","220335401C",0
"16","ESPERANTINA","220370101A",80.26
"17","FLORIANO","220390901A",0.4
"18","FLORIANO","220390902A",0
"19","ILHA GRANDE","220465901A",10.4
"20","LUZILÂNDIA","220580501A",71.2
"21","MATIAS OLÍMPIO","220610001A",7.6
"22","MIGUEL ALVES","220620901A",2.6
"23","OEIRAS","220700901C",0
"24","PALMEIRAIS","220750402A",10.1
"25","PARNAÍBA","220770201A",18.4
"26","PARNAÍBA","220770202A",14.8
"27","PARNAÍBA","220770203A",16.2
"28","PIRACURUCA","220830401A",27.6
"29","PIRACURUCA","220830401C",11.6
"30","PORTO","220850202A",84.55
"31","SANTA CRUZ DOS MILAGRES","220915301A",28.2
"32","SANTA ROSA DO PIAUÍ","220937701C",0
"33","SÃO JOSÉ DO DIVINO","221005201A",61.2
"34","SÃO LOURENÇO DO PIAUÍ","221035901C",0
"35","TERESINA","221100101A",52.2
"36","TERESINA","221100102A",41
"37","TERESINA","221100103A",48
"38","TERESINA","221100104A",31
"39","UNIÃO","221110001A",40.4
"40","URUÇUÍ","221120901A",0
"41","WALL FERRAZ","221170401C",0
