"","municipio","codEstacao","PrecM"
"1","ALAGOINHA DO PIAUÍ","220025101C",0
"2","ALTO LONGÁ","220030101A",5.4
"3","ALVORADA DO GURGUÉIA","220045901C",0
"4","ASSUNÇÃO DO PIAUÍ","220105101C",0.4
"5","AVELINO LOPES","220110101C",0
"6","BARRAS","220120001A",9.93
"7","BATALHA","220150701A",40.2
"8","BELA VISTA DO PIAUÍ","220155601C",0
"9","BETÂNIA DO PIAUÍ","220173901C",0.6
"10","BOM JESUS","220190301U",0
"11","BOQUEIRÃO DO PIAUÍ","220194501A",17.8
"12","BURITI DOS LOPES","220200001A",8
"13","BURITI DOS MONTES","220202601C",16.4
"14","CAJUEIRO DA PRAIA","220208301A",15.2
"15","CAMPO MAIOR","220220801A",1.6
"16","CANTO DO BURITI","220230701C",0
"17","CASTELO DO PIAUÍ","220260401A",10.6
"18","CASTELO DO PIAUÍ","220260401C",12
"19","CAXINGÓ","220265301A",37.4
"20","COCAL","220270301A",25.6
"21","COLÔNIA DO PIAUÍ","220277801C",0.2
"22","CURIMATÁ","220320601C",0
"23","CURRAIS","220323001C",0
"24","DIRCEU ARCOVERDE","220335401C",0.8
"25","ELESBÃO VELOSO","220350301U",5.4
"26","ESPERANTINA","220370101A",6.09
"27","FARTURA DO PIAUÍ","220375001C",0
"28","FLORES DO PIAUÍ","220380001C",0
"29","FLORESTA DO PIAUÍ","220385901C",0
"30","FLORIANO","220390901A",0.4
"31","FLORIANO","220390902A",0
"32","FRONTEIRAS","220430301C",0
"33","ILHA GRANDE","220465901A",23
"34","INHUMA","220470901C",0
"35","IPIRANGA DO PIAUÍ","220480801U",0
"36","JACOBINA DO PIAUÍ","220515101C",1
"37","JUREMA","220553201C",0
"38","LUZILÂNDIA","220580501A",11.8
"39","MASSAPÊ DO PIAUÍ","220605001C",0
"40","MATIAS OLÍMPIO","220610001A",29.2
"41","MIGUEL ALVES","220620901A",22.4
"42","NAZARÉ DO PIAUÍ","220670401C",0
"43","OEIRAS","220700901C",0.2
"44","PADRE MARCOS","220720701C",0
"45","PALMEIRAIS","220750402A",1.18
"46","PARNAÍBA","220770201A",45
"47","PARNAÍBA","220770202A",23.8
"48","PARNAÍBA","220770203A",51
"49","PEDRO II","220790001U",0
"50","PICOS","220800701C",0
"51","PIRACURUCA","220830401C",3.2
"52","PORTO","220850202A",25.48
"53","SANTA CRUZ DO PIAUÍ","220910401C",0
"54","SANTA CRUZ DOS MILAGRES","220915301A",2.6
"55","SANTA ROSA DO PIAUÍ","220937701C",0
"56","SIMÕES","221070601C",0
"57","SÃO FRANCISCO DE ASSIS DO PIAUÍ","220965801C",0
"58","SÃO JOSÉ DO DIVINO","221005201A",19.6
"59","SÃO JOSÉ DO PIAUÍ","221020101C",0
"60","SÃO JULIÃO","221030001C",0
"61","SÃO LOURENÇO DO PIAUÍ","221035901C",0.6
"62","SÃO MIGUEL DO TAPUIO","221040901C",12
"63","SÃO RAIMUNDO NONATO","221060701C",0
"64","TERESINA","221100101A",31.8
"65","TERESINA","221100102A",7.2
"66","TERESINA","221100103A",12.8
"67","TERESINA","221100104A",20.6
"68","UNIÃO","221110001A",67.2
"69","URUÇUÍ","221120901A",0
"70","VALENÇA DO PIAUÍ","221130801C",0
"71","WALL FERRAZ","221170401C",0
