"","municipio","codEstacao","PrecM"
"1","ALTO ALEGRE DO MARANHÃO","210043601A",267.8
"2","ALTO ALEGRE DO PINDARÉ","210047701A",66.8
"3","ALTO PARNAÍBA","210050102A",1.41
"4","APICUM-AÇU","210083201A",421.2
"5","ARAIOSES","210090701A",263.6
"6","ARAME","210095601A",72.8
"7","ARARI","210100401A",85.2
"8","BACABAL","210120201A",4765
"9","BACURI","210130101A",456.6
"10","BALSAS","210140001A",7.6
"11","BELA VISTA DO MARANHÃO","210177201A",247
"12","BENEDITO LEITE","210180601A",47.2
"13","BREJO","210210102A",498.94
"14","BURITI","210220001A",206.8
"15","BURITICUPU","210232501A",45.6
"16","CANTANHEDE","210270501A",257.6
"17","CAXIAS","210300001A",127.4
"18","CAXIAS","210300002A",0
"19","CAXIAS","210300003A",67.8
"20","CENTRO DO GUILHERME","210315801A",0
"21","CHAPADINHA","210320801A",199.2
"22","CHAPADINHA","210320802A",226.32
"23","CODÓ","210330701A",146.6
"24","CODÓ","210330702A",160.2
"25","COELHO NETO","210340601A",202.4
"26","COELHO NETO","210340602A",186.8
"27","COLINAS","210350501A",22.6
"28","COROATÁ","210360401A",217.2
"29","DUQUE BACELAR","210390101A",178.2
"30","FORTUNA","210420601A",36.4
"31","GRAJAÚ","210480001A",51.4
"32","ICATU","210510401A",564.2
"33","IGARAPÉ DO MEIO","210515301A",273.8
"34","IMPERATRIZ","210530201A",38.6
"35","IMPERATRIZ","210530202A",35.2
"36","IMPERATRIZ","210530203A",36
"37","IMPERATRIZ","210530204A",20.4
"38","ITAPECURU MIRIM","210540101A",264.4
"39","JATOBÁ","210545001A",40.6
"40","LAGO DA PEDRA","210570801A",127.8
"41","LAGO DO JUNCO","210580701A",115.6
"42","LAGO DOS RODRIGUES","210594801A",112
"43","LAGO VERDE","210590601A",84.2
"44","LAGOA GRANDE DO MARANHÃO","210596302A",80.97
"45","MAGALHÃES DE ALMEIDA","210630001A",222.4
"46","MARAJÁ DO SENA","210635902A",85.42
"47","MATÕES","210660701A",59.8
"48","MATÕES DO NORTE","210663101A",195.8
"49","MIRADOR","210670601A",9.8
"50","MIRANDA DO NORTE","210675501A",226.2
"51","MIRINZAL","210680501A",642.2
"52","MONÇÃO","210690401A",0
"53","OLINDA NOVA DO MARANHÃO","210745601A",0.4
"54","PALMEIRÂNDIA","210760501A",367.2
"55","PARNARAMA","210780301A",59.6
"56","PENALVA","210830601A",0
"57","PINDARÉ-MIRIM","210850401A",262.4
"58","PIO XII","210870201A",47.6
"59","PRESIDENTE DUTRA","210910601A",54.8
"60","PRESIDENTE VARGAS","210930401A",310.4
"61","RAPOSA","210945201A",175.6
"62","SANTA FILOMENA DO MARANHÃO","210975901A",14.6
"63","SANTA HELENA","210980901A",456
"64","SANTA LUZIA","211000501A",127.6
"65","SANTA QUITÉRIA DO MARANHÃO","211010401A",297.2
"66","SANTO AMARO DO MARANHÃO","211027802A",0
"67","SATUBINHA","211172201A",217
"68","SÃO FÉLIX DE BALSAS","211080701A",108.8
"69","SÃO LUÍS","211130002A",423.8
"70","SÃO LUÍS","211130003A",342.8
"71","SÃO LUÍS","211130004A",519.6
"72","SÃO LUÍS","211130005A",328.4
"73","SÃO LUÍS","211130006A",445
"74","SÃO LUÍS","211130007A",452.2
"75","SÃO LUÍS","211130008A",381.4
"76","SÃO LUÍS","211130009A",350.2
"77","SÃO LUÍS","211130010A",434.8
"78","SÃO MATEUS DO MARANHÃO","211150801A",199.2
"79","SÃO PEDRO DA ÁGUA BRANCA","211153202A",64.74
"80","TIMBIRAS","211210001A",105.6
"81","TIMON","211220901A",115.6
"82","TUFILÂNDIA","211227401A",27.4
"83","VARGEM GRANDE","211270401A",281
"84","VIANA","211280301A",0
"85","VITÓRIA DO MEARIM","211290201A",709.4
