"","municipio","codEstacao","PrecM"
"1","ALTO ALEGRE DO MARANHÃO","210043601A",74.4
"2","ALTO ALEGRE DO PINDARÉ","210047701A",122.4
"3","ALTO PARNAÍBA","210050102A",8.87
"4","APICUM-AÇU","210083201A",258
"5","ARAIOSES","210090701A",278.2
"6","ARAME","210095601A",20.2
"7","ARARI","210100401A",232.8
"8","BACURI","210130101A",266.6
"9","BALSAS","210140001A",17.4
"10","BELA VISTA DO MARANHÃO","210177201A",153.4
"11","BENEDITO LEITE","210180601A",2.2
"12","BREJO","210210102A",164.22
"13","BURITI","210220001A",179.8
"14","BURITICUPU","210232501A",34.8
"15","CAJARI","210250701A",241.2
"16","CANTANHEDE","210270501A",197.8
"17","CAXIAS","210300001A",72.4
"18","CAXIAS","210300002A",94
"19","CAXIAS","210300003A",80.2
"20","CENTRO DO GUILHERME","210315801A",36
"21","CHAPADINHA","210320801A",254.6
"22","CHAPADINHA","210320802A",257.49
"23","CODÓ","210330701A",86
"24","CODÓ","210330702A",80.4
"25","COELHO NETO","210340601A",99.6
"26","COELHO NETO","210340602A",101.4
"27","COLINAS","210350501A",11.6
"28","COROATÁ","210360401A",83.6
"29","DUQUE BACELAR","210390101A",165.8
"30","FORTALEZA DOS NOGUEIRAS","210410701A",1.6
"31","FORTUNA","210420601A",10.2
"32","GRAJAÚ","210480001A",2.2
"33","ICATU","210510401A",317.4
"34","IGARAPÉ DO MEIO","210515301A",95.8
"35","IMPERATRIZ","210530201A",23.6
"36","IMPERATRIZ","210530202A",32.8
"37","IMPERATRIZ","210530203A",43.2
"38","IMPERATRIZ","210530204A",19
"39","ITAPECURU MIRIM","210540101A",139.6
"40","JATOBÁ","210545001A",11
"41","LAGO DA PEDRA","210570801A",85.6
"42","LAGO DO JUNCO","210580701A",69.2
"43","LAGO DOS RODRIGUES","210594801A",61.6
"44","LAGO VERDE","210590601A",94.2
"45","LAGOA GRANDE DO MARANHÃO","210596302A",32.32
"46","MAGALHÃES DE ALMEIDA","210630001A",189.4
"47","MARAJÁ DO SENA","210635902A",71.59
"48","MATÕES","210660701A",72
"49","MIRADOR","210670601A",3
"50","MIRANDA DO NORTE","210675501A",132.4
"51","MIRINZAL","210680501A",350.6
"52","MONÇÃO","210690401A",151.8
"53","NINA RODRIGUES","210720901A",130
"54","OLINDA NOVA DO MARANHÃO","210745601A",5.4
"55","PALMEIRÂNDIA","210760501A",214
"56","PARNARAMA","210780301A",56
"57","PENALVA","210830601A",0.6
"58","PERITORÓ","210845401A",76.2
"59","PINDARÉ-MIRIM","210850401A",125.6
"60","PIO XII","210870201A",28
"61","PIRAPEMAS","210880101A",133.2
"62","POÇÃO DE PEDRAS","210890001A",80.2
"63","PRESIDENTE DUTRA","210910601A",29
"64","PRESIDENTE VARGAS","210930401A",75.4
"65","RAPOSA","210945201A",56.4
"66","SANTA FILOMENA DO MARANHÃO","210975901A",35.4
"67","SANTA HELENA","210980901A",35.8
"68","SANTA LUZIA","211000501A",145.8
"69","SANTA QUITÉRIA DO MARANHÃO","211010401A",58.4
"70","SANTO AMARO DO MARANHÃO","211027802A",0
"71","SATUBINHA","211172201A",132.8
"72","SÃO FÉLIX DE BALSAS","211080701A",20.4
"73","SÃO LUÍS","211130002A",249.2
"74","SÃO LUÍS","211130003A",295.6
"75","SÃO LUÍS","211130004A",481.2
"76","SÃO LUÍS","211130005A",273.6
"77","SÃO LUÍS","211130006A",301
"78","SÃO LUÍS","211130007A",276.2
"79","SÃO LUÍS","211130008A",383.6
"80","SÃO LUÍS","211130009A",269.4
"81","SÃO LUÍS","211130010A",236
"82","SÃO LUÍS GONZAGA DO MARANHÃO","211140901A",136
"83","SÃO MATEUS DO MARANHÃO","211150801A",115.2
"84","SÃO PEDRO DA ÁGUA BRANCA","211153202A",79.79
"85","TIMBIRAS","211210001A",130.6
"86","TIMON","211220901A",64.2
"87","TRIZIDELA DO VALE","211223301A",1.6
"88","TUFILÂNDIA","211227401A",152.2
"89","TURILÂNDIA","211245601A",130.2
"90","VARGEM GRANDE","211270401A",155.6
"91","VIANA","211280301A",182.6
"92","VITÓRIA DO MEARIM","211290201A",0.6
