"","municipio","codEstacao","PrecM"
"164","SÃO LOURENÇO DA MATA","261370103A",114.52
"165","SÃO LOURENÇO DA MATA","261370104A",45.4
"166","TABIRA","261460001C",0
"167","TACAIMBÓ","261470901A",27.8
"168","TACARATU","261480801C",8.2
"169","TUPANATINGA","261580501C",47.4
"170","TUPARETAMA","261590401C",0
"171","VENTUROSA","261600101C",29.6
"172","VERTENTE DO LÉRIO","261618301C",16.4
"173","VICÊNCIA","261630801A",49.42
"174","VITÓRIA DE SANTO ANTÃO","261640702A",20.04
"175","VITÓRIA DE SANTO ANTÃO","261640703A",0.6
"176","VITÓRIA DE SANTO ANTÃO","261640704A",32.28
"177","XEXÉU","261650601A",119.66
"178","ÁGUA PRETA","260040101A",85.06
"179","ÁGUAS BELAS","260050001A",67.81
"180","ÁGUAS BELAS","260050002A",65.1
