"","municipio","codEstacao","PrecM"
"1","ALAGOA GRANDE","250030401A",25.2
"2","ALAGOINHA","250050201A",19.2
"3","BAYEUX","250180701A",48.8
"4","BAYEUX","250180702A",52
"5","BAYEUX","250180703A",59.4
"6","CAAPORÃ","250300101A",73.2
"7","CABEDELO","250320901A",51
"8","CABEDELO","250320902A",46.4
"9","CABEDELO","250320903A",50.6
"10","CAMPINA GRANDE","250400901A",16.4
"11","CAMPINA GRANDE","250400902A",15.2
"12","CAMPINA GRANDE","250400903A",18.6
"13","CAMPINA GRANDE","250400904A",18
"14","CAMPINA GRANDE","250400905A",15
"15","CAMPINA GRANDE","250400906A",19.4
"16","CAMPINA GRANDE","250400907A",18.8
"17","JOÃO PESSOA","250750701A",53.4
"18","JOÃO PESSOA","250750702A",53
"19","JOÃO PESSOA","250750703A",59.6
"20","JOÃO PESSOA","250750704A",61.6
"21","JOÃO PESSOA","250750705A",66
"22","JOÃO PESSOA","250750706A",63.6
"23","JOÃO PESSOA","250750707A",59
"24","MARI","250910701A",26.6
"25","MATARACA","250930501A",60.4
"26","MULUNGU","250980001A",14.4
"27","PITIMBU","251190501A",44.8
"28","SAPÉ","251530201A",17.6
