"","municipio","codEstacao","PrecM"
"1","ACARAÚ","230020001A",0
"2","ACARAÚ","230020002A",0
"3","ALCÂNTARAS","230050701C",2.8
"4","ALTO SANTO","230070501C",1
"5","AMONTADA","230075401A",0.99
"6","AMONTADA","230075401H",0
"7","AMONTADA","230075403A",0.2
"8","ARACATI","230110901C",0
"9","ARACOIABA","230120801C",0
"10","ARATUBA","230140601C",5.6
"11","ASSARÉ","230160401C",0
"12","AURORA","230170301A",1.38
"13","AURORA","230170301U",0.6
"14","BANABUIÚ","230185101C",0
"15","BARBALHA","230190101C",0
"16","BARRO","230200801C",0
"17","BATURITÉ","230210701A",8
"18","BATURITÉ","230210701C",0
"19","BELA CRUZ","230230501A",0
"20","BOA VIAGEM","230240401A",2.37
"21","CAMPOS SALES","230270101C",0
"22","CANINDÉ","230280001A",0.2
"23","CANINDÉ","230280001C",0
"24","CANINDÉ","230280002A",0.2
"25","CARIDADE","230300601A",0.4
"26","CARIRIAÇU","230320401C",0
"27","CATARINA","230360001C",5.2
"28","CAUCAIA","230370901A",17.54
"29","CAUCAIA","230370902A",19.12
"30","CAUCAIA","230370903A",22.27
"31","CAUCAIA","230370904A",26.03
"32","CAUCAIA","230370905A",0
"33","CAUCAIA","230370906A",19.5
"34","CHAVAL","230390701A",0.2
"35","COREAÚ","230400401A",0
"36","CRATEÚS","230410301A",0.2
"37","CRATEÚS","230410301C",3.6
"38","CRATEÚS","230410302A",0
"39","CRATO","230420201A",0
"40","CRATO","230420202A",0
"41","FARIAS BRITO","230430101C",0
"42","FORQUILHA","230435001A",0
"43","FORQUILHA","230435001C",0
"44","FORTALEZA","230440001A",13.8
"45","FORTALEZA","230440004A",20.52
"46","FORTALEZA","230440005A",19.1
"47","FORTALEZA","230440005H",0.4
"48","FORTALEZA","230440006A",10.24
"49","FORTALEZA","230440007A",14.01
"50","FORTALEZA","230440008A",7.4
"51","FORTALEZA","230440009A",16.38
"52","FORTALEZA","230440010A",11.45
"53","FORTALEZA","230440011A",35.4
"54","FORTALEZA","230440014A",12.81
"55","FORTALEZA","230440015A",18.6
"56","FORTALEZA","230440016A",16.77
"57","FRECHEIRINHA","230450901C",0
"58","GENERAL SAMPAIO","230460801C",0
"59","GRANJA","230470701A",2.2
"60","GRANJA","230470702A",1.8
"61","GUARACIABA DO NORTE","230500101C",2.6
"62","IBICUITINGA","230533201C",0
"63","ICAPUÍ","230535701C",0
"64","ICÓ","230540701A",0.4
"65","ICÓ","230540701C",5.2
"66","ICÓ","230540702A",1.6
"67","IGUATU","230550601A",0.8
"68","IGUATU","230550602A",10.6
"69","IRACEMA","230600901C",0
"70","IRAUÇUBA","230610801A",1.18
"71","ITAIÇABA","230620701A",0.8
"72","ITAPAGÉ","230630601C",0.6
"73","ITAPIPOCA","230640501C",2
"74","ITATIRA","230660301C",2.4
"75","JAGUARETAMA","230670201C",0
"76","JAGUARIBARA","230680101C",0
"77","JAGUARIBE","230690001C",0
"78","JAGUARUANA","230700701A",0
"79","JAGUARUANA","230700701C",0
"80","JAGUARUANA","230700702A",4.13
"81","JAGUARUANA","230700703A",5.13
"82","JAGUARUANA","230700704A",5.91
"83","JAGUARUANA","230700705A",5.9
"84","JAGUARUANA","230700706A",7.87
"85","JATI","230720501C",0.2
"86","JUAZEIRO DO NORTE","230730401A",0
"87","JUAZEIRO DO NORTE","230730401C",0
"88","JUCÁS","230740301C",6.8
"89","LAVRAS DA MANGABEIRA","230750201A",4.4
"90","LAVRAS DA MANGABEIRA","230750201C",4.4
"91","LIMOEIRO DO NORTE","230760101A",0
"92","LIMOEIRO DO NORTE","230760101C",0
"93","MADALENA","230763501A",0.4
