"","municipio","codEstacao","PrecM"
"1","ABREU E LIMA","260005401A",176.1
"2","ALTINHO","260080701A",43.8
"3","BARRA DE GUABIRABA","260130001A",105.31
"4","BARREIROS","260140901A",155.89
"5","BARREIROS","260140901H",170.8
"6","BARREIROS","260140902A",152.33
"7","BELÉM DE MARIA","260150802A",104.92
"8","BEZERROS","260190401A",52.55
"9","BEZERROS","260190401C",40.8
"10","BODOCÓ","260200101C",24.4
"11","BOM CONSELHO","260210001C",38
"12","BREJO DA MADRE DE DEUS","260260501C",47.4
"13","BREJÃO","260240701C",55.6
"14","CABO DE SANTO AGOSTINHO","260290202A",159.65
"15","CABO DE SANTO AGOSTINHO","260290203A",169.5
"16","CABO DE SANTO AGOSTINHO","260290204A",146.8
"17","CABO DE SANTO AGOSTINHO","260290205A",140.13
"18","CABROBÓ","260300901A",21.06
"19","CACHOEIRINHA","260310801A",23.65
"20","CAETÉS","260320701C",31.4
"21","CAMARAGIBE","260345401A",117.36
"22","CAMARAGIBE","260345402A",114.73
"23","CAMARAGIBE","260345403A",158.25
"24","CAMARAGIBE","260345404A",160.25
"25","CAMARAGIBE","260345406A",153
"26","CANHOTINHO","260370201C",0.6
"27","CARUARU","260410601A",48.74
"28","CARUARU","260410602A",36.14
"29","CARUARU","260410603A",52.88
"30","CARUARU","260410604A",38.66
"31","CARUARU","260410605A",56.69
"32","CARUARU","260410606A",80.86
"33","CARUARU","260410607A",36
"34","CATENDE","260420501A",159.63
"35","CATENDE","260420502A",141.49
"36","CATENDE","260420503A",156.03
"37","CEDRO","260430401C",18.2
"38","CHÃ GRANDE","260450201A",138.8
"39","CORRENTES","260470001A",72.06
"40","CORRENTES","260470001C",51.6
"41","CORTÊS","260480901A",108.83
"42","CUSTÓDIA","260510301C",6.2
"43","DORMENTES","260515201C",4.8
"44","ESCADA","260520201A",207.8
"45","ESCADA","260520202H",235.6
"46","EXU","260530101C",54.8
"47","FLORES","260560801C",6.4
"48","FLORESTA","260570701A",30
"49","FLORESTA","260570701C",32.8
"50","FREI MIGUELINHO","260580601C",47.4
"51","GAMELEIRA","260590501A",132.53
"52","GARANHUNS","260600201C",30.8
"53","GOIANA","260620001A",113.4
"54","GOIANA","260620002A",118.8
"55","GOIANA","260620003H",119
"56","GRANITO","260630901C",23.6
"57","GRAVATÁ","260640801C",59.6
"58","IBIMIRIM","260660601A",7.53
"59","IBIMIRIM","260660601C",5.2
"60","IGARASSU","260680403A",142.4
"61","IGARASSU","260680404A",163.75
"62","IGARASSU","260680405A",180.61
"63","INAJÁ","260700001C",20.6
"64","IPOJUCA","260720801A",125.93
"65","IPOJUCA","260720802A",202.83
"66","IPOJUCA","260720803A",105.53
"67","IPOJUCA","260720804A",108.16
"68","IPUBI","260730701A",17.31
"69","IPUBI","260730701C",22.8
"70","IPUBI","260730702A",19.63
"71","ITACURUBA","260740601C",17.2
"72","JABOATÃO DOS GUARARAPES","260790101A",148.16
"73","JABOATÃO DOS GUARARAPES","260790102A",131.57
"74","JABOATÃO DOS GUARARAPES","260790103A",130.99
"75","JABOATÃO DOS GUARARAPES","260790104A",116.05
"76","JABOATÃO DOS GUARARAPES","260790106A",142.17
"77","JABOATÃO DOS GUARARAPES","260790107A",147.88
"78","JABOATÃO DOS GUARARAPES","260790108A",144
"79","JABOATÃO DOS GUARARAPES","260790109A",165.46
"80","JABOATÃO DOS GUARARAPES","260790110A",138
"81","JAQUEIRA","260795001A",92.62
"82","JAQUEIRA","260795004H",98
"83","JATAÚBA","260800801C",12.4
"84","JATOBÁ","260805701C",48.8
"85","JOAQUIM NABUCO","260820601A",132.24
"86","JUREMA","260840401A",50
"87","JUREMA","260840401C",53.4
"88","LAGOA GRANDE","260875001A",7.32
"89","LAJEDO","260880001A",28.6
"90","LAJEDO","260880001C",21
"91","MANARI","260915401C",40.6
"92","MARAIAL","260920401A",91.52
"93","MARAIAL","260920402A",98.79
"94","MIRANDIBA","260930301C",10.8
"95","MORENO","260940201A",76.3
"96","MORENO","260940202A",97.39
"97","NAZARÉ DA MATA","260950101A",69.13
