"","municipio","codEstacao","PrecM"
"1","ABREU E LIMA","260005401A",306.55
"2","ALTINHO","260080701A",123.8
"3","BARRA DE GUABIRABA","260130001A",271.94
"4","BARREIROS","260140901A",442.72
"5","BARREIROS","260140901H",446.2
"6","BARREIROS","260140902A",406.66
"7","BELÉM DE MARIA","260150802A",10.47
"8","BEZERROS","260190401A",72.45
"9","BODOCÓ","260200101C",40.2
"10","BOM CONSELHO","260210001C",109.6
"11","BREJO DA MADRE DE DEUS","260260501C",63.2
"12","BREJÃO","260240701C",170.4
"13","CABO DE SANTO AGOSTINHO","260290202A",407.52
"14","CABO DE SANTO AGOSTINHO","260290203A",428.45
"15","CABO DE SANTO AGOSTINHO","260290204A",400.83
"16","CABO DE SANTO AGOSTINHO","260290205A",428.59
"17","CABROBÓ","260300901A",33.86
"18","CACHOEIRINHA","260310801A",122.96
"19","CAETÉS","260320701C",49.2
"20","CAMARAGIBE","260345401A",378.46
"21","CAMARAGIBE","260345402A",376.4
"22","CAMARAGIBE","260345404A",441.16
"23","CAMARAGIBE","260345406A",400.2
"24","CARUARU","260410601A",94.22
"25","CARUARU","260410602A",59.7
"26","CARUARU","260410603A",54.81
"27","CARUARU","260410604A",7.54
"28","CARUARU","260410605A",8.51
"29","CARUARU","260410606A",40.82
"30","CARUARU","260410607A",87.6
"31","CATENDE","260420501A",287.73
"32","CATENDE","260420502A",0
"33","CATENDE","260420503A",0
"34","CEDRO","260430401C",0.8
"35","CHÃ GRANDE","260450201A",269.8
"36","CORRENTES","260470001A",244.19
"37","CORRENTES","260470001C",215.2
"38","CORTÊS","260480901A",349.56
"39","CUSTÓDIA","260510301C",12.2
"40","DORMENTES","260515201C",8
"41","ESCADA","260520201A",423.4
"42","ESCADA","260520202H",454.6
"43","EXU","260530101C",1.2
"44","FLORESTA","260570701A",49.6
"45","FLORESTA","260570701C",0.6
"46","FREI MIGUELINHO","260580601C",102
"47","GAMELEIRA","260590501A",421.23
"48","GARANHUNS","260600201C",65
"49","GOIANA","260620001A",134.8
"50","GOIANA","260620002A",164.4
"51","GOIANA","260620003H",149.8
"52","GRANITO","260630901C",0.2
"53","GRAVATÁ","260640801C",73.8
"54","IBIMIRIM","260660601A",32.65
"55","IBIMIRIM","260660601C",20.4
"56","IGARASSU","260680403A",239.82
"57","IGARASSU","260680404A",392.35
"58","IGARASSU","260680405A",333.87
"59","INAJÁ","260700001C",42.8
"60","INGAZEIRA","260710901U",30.6
"61","IPOJUCA","260720801A",418.19
"62","IPOJUCA","260720802A",479.59
"63","IPOJUCA","260720803A",389.55
"64","IPOJUCA","260720804A",400.26
"65","IPUBI","260730701A",6
"66","IPUBI","260730702A",38.33
"67","JABOATÃO DOS GUARARAPES","260790102A",425.07
"68","JABOATÃO DOS GUARARAPES","260790103A",384.68
"69","JABOATÃO DOS GUARARAPES","260790104A",161.08
"70","JABOATÃO DOS GUARARAPES","260790106A",438.47
"71","JABOATÃO DOS GUARARAPES","260790107A",391.51
"72","JABOATÃO DOS GUARARAPES","260790108A",481.01
"73","JABOATÃO DOS GUARARAPES","260790109A",422.76
"74","JABOATÃO DOS GUARARAPES","260790110A",455.4
"75","JAQUEIRA","260795001A",253.48
"76","JAQUEIRA","260795004H",282
"77","JATAÚBA","260800801C",20.8
"78","JATOBÁ","260805701C",71.6
"79","JUREMA","260840401A",167.4
"80","JUREMA","260840401C",158.8
"81","LAGOA GRANDE","260875001A",1.8
"82","LAJEDO","260880001A",114
"83","LAJEDO","260880001C",50.6
"84","MANARI","260915401C",103.4
"85","MARAIAL","260920401A",277.42
"86","MARAIAL","260920402A",354.64
"87","MIRANDIBA","260930301C",53.8
"88","MORENO","260940201A",216.92
"89","NAZARÉ DA MATA","260950101A",144.63
"90","NAZARÉ DA MATA","260950102A",134.51
"91","NAZARÉ DA MATA","260950103A",110.75
"92","OLINDA","260960001A",253.97
"93","OLINDA","260960002A",408.75
"94","OLINDA","260960003A",367.39
"95","OLINDA","260960004A",371.5
"96","OLINDA","260960005A",375.5
"97","OROBÓ","260970901C",146.2
"98","OROCÓ","260980801A",5.89
"99","OROCÓ","260980801C",53.6
"100","OURICURI","260990701C",5.6
"101","PALMARES","261000402A",300.13
"102","PARNAMIRIM","261040001C",51.2
"103","PAULISTA","261070702A",359.68
"104","PAULISTA","261070703A",259.67
"105","PAULISTA","261070704A",310.34
