"","municipio","codEstacao","PrecM"
"1","ALAGOINHA DO PIAUÍ","220025101C",0
"2","ALTO LONGÁ","220030101A",6
"3","ALVORADA DO GURGUÉIA","220045901C",0
"4","ASSUNÇÃO DO PIAUÍ","220105101C",5.2
"5","AVELINO LOPES","220110101C",0
"6","BARRAS","220120001A",14.77
"7","BATALHA","220150701A",20.2
"8","BETÂNIA DO PIAUÍ","220173901C",0
"9","BOQUEIRÃO DO PIAUÍ","220194501A",0.2
"10","BURITI DOS LOPES","220200001A",36.6
"11","BURITI DOS MONTES","220202601C",10.2
"12","CAJUEIRO DA PRAIA","220208301A",0.8
"13","CAMPO MAIOR","220220801A",0.99
"14","CANTO DO BURITI","220230701C",0
"15","CASTELO DO PIAUÍ","220260401C",1.2
"16","CAXINGÓ","220265301A",23.8
"17","COCAL","220270301A",46.6
"18","COLÔNIA DO PIAUÍ","220277801C",3.2
"19","CURIMATÁ","220320601C",0
"20","CURRAIS","220323001C",1.2
"21","DIRCEU ARCOVERDE","220335401C",0
"22","ESPERANTINA","220370101A",3.17
"23","FLORESTA DO PIAUÍ","220385901C",0
"24","FLORIANO","220390901A",0
"25","FLORIANO","220390902A",0.2
"26","FRONTEIRAS","220430301C",28.8
"27","ILHA GRANDE","220465901A",34.8
"28","INHUMA","220470901C",0
"29","JACOBINA DO PIAUÍ","220515101C",0.4
"30","JUREMA","220553201C",0
"31","LUZILÂNDIA","220580501A",43.4
"32","MATIAS OLÍMPIO","220610001A",20.6
"33","MIGUEL ALVES","220620901A",58.4
"34","NAZARÉ DO PIAUÍ","220670401C",0
"35","OEIRAS","220700901C",0
"36","PADRE MARCOS","220720701C",0
"37","PALMEIRAIS","220750402A",4.13
"38","PARNAÍBA","220770201A",35.4
"39","PARNAÍBA","220770202A",26.4
"40","PARNAÍBA","220770203A",33.6
"41","PICOS","220800701C",5
"42","PIRACURUCA","220830401A",1.8
"43","PIRACURUCA","220830401C",3
"44","SANTA CRUZ DO PIAUÍ","220910401C",0
"45","SANTA CRUZ DOS MILAGRES","220915301A",11.6
"46","SANTA ROSA DO PIAUÍ","220937701C",0
"47","SÃO FRANCISCO DE ASSIS DO PIAUÍ","220965801C",4
"48","SÃO JOSÉ DO DIVINO","221005201A",15.6
"49","SÃO JOSÉ DO PIAUÍ","221020101C",0
"50","SÃO JULIÃO","221030001C",13
"51","SÃO LOURENÇO DO PIAUÍ","221035901C",0
"52","TERESINA","221100101A",0
"53","TERESINA","221100102A",2.2
"54","TERESINA","221100103A",0.6
"55","TERESINA","221100104A",17.2
"56","UNIÃO","221110001A",0
"57","URUÇUÍ","221120901A",0.2
"58","WALL FERRAZ","221170401C",4
