"","municipio","codEstacao","PrecM"
"1","ALTO LONGÁ","220030101A",10.2
"2","BARRAS","220120001A",47.85
"3","BATALHA","220150701A",86.6
"4","BETÂNIA DO PIAUÍ","220173901C",2.2
"5","BOM JESUS","220190301U",0.2
"6","BOQUEIRÃO DO PIAUÍ","220194501A",42.6
"7","BURITI DOS LOPES","220200001A",66.6
"8","CAJUEIRO DA PRAIA","220208301A",67.6
"9","CAMPO MAIOR","220220801A",36.95
"10","CASTELO DO PIAUÍ","220260401A",9.8
"11","CASTELO DO PIAUÍ","220260401C",6.8
"12","CAXINGÓ","220265301A",98.8
"13","COCAL","220270301A",14.6
"14","ESPERANTINA","220370101A",43.9
"15","FARTURA DO PIAUÍ","220375001C",0.2
"16","FLORESTA DO PIAUÍ","220385901C",0.4
"17","FLORIANO","220390901A",31.2
"18","FLORIANO","220390902A",20.8
"19","FRONTEIRAS","220430301C",2.4
"20","ILHA GRANDE","220465901A",23.6
"21","LAGOA DO BARRO DO PIAUÍ","220556501C",0.8
"22","LUZILÂNDIA","220580501A",76.4
"23","MASSAPÊ DO PIAUÍ","220605001C",0.4
"24","MATIAS OLÍMPIO","220610001A",12.2
"25","MIGUEL ALVES","220620901A",103.2
"26","NAZARÉ DO PIAUÍ","220670401C",19.8
"27","OEIRAS","220700901C",6.8
"28","PADRE MARCOS","220720701C",1.8
"29","PARNAÍBA","220770201A",54.2
"30","PARNAÍBA","220770202A",29.6
"31","PARNAÍBA","220770203A",49
"32","PATOS DO PIAUÍ","220777701C",0.2
"33","PAULISTANA","220780101C",0.4
"34","PICOS","220800701C",1.6
"35","PIRACURUCA","220830401A",79.6
"36","SANTA CRUZ DO PIAUÍ","220910401C",0.6
"37","SANTA CRUZ DOS MILAGRES","220915301A",18
"38","SANTA ROSA DO PIAUÍ","220937701C",5.8
"39","SEBASTIÃO LEAL","221063101C",0.4
"40","SIMÕES","221070601C",10.4
"41","SÃO FRANCISCO DE ASSIS DO PIAUÍ","220965801C",0.2
"42","SÃO JOSÉ DO DIVINO","221005201A",38.8
"43","SÃO JOÃO DA FRONTEIRA","220987201C",27.6
"44","SÃO JULIÃO","221030001C",3.4
"45","SÃO LOURENÇO DO PIAUÍ","221035901C",0.2
"46","SÃO RAIMUNDO NONATO","221060701C",0.4
"47","TERESINA","221100101A",9.8
"48","TERESINA","221100102A",8
"49","TERESINA","221100103A",0.4
"50","TERESINA","221100104A",18.6
"51","UNIÃO","221110001A",33
"52","URUÇUÍ","221120901A",27.2
"53","WALL FERRAZ","221170401C",0.2
