"","municipio","codEstacao","PrecM"
"1","AQUIDABÃ","280020901C",8.2
"2","ARACAJU","280030801A",105.4
"3","ARACAJU","280030802A",106.4
"4","ARACAJU","280030803A",97.4
"5","ARACAJU","280030804A",118.2
"6","CANHOBA","280110801C",51
"7","FREI PAULO","280230401C",69.2
"8","GARARU","280240301C",0
"9","ITABI","280310401C",0
"10","MARUIM","280400301A",118.2
"11","NOSSA SENHORA APARECIDA","280445801C",59.2
"12","PORTO DA FOLHA","280560401C",0
"13","POÇO REDONDO","280540601A",26.8
"14","PROPRIÁ","280570301C",48.4
"15","TOBIAS BARRETO","280740201C",0
