"","municipio","codEstacao","PrecM"
"1","AQUIDABÃ","280020901C",7.4
"2","ARACAJU","280030801A",42
"3","ARACAJU","280030802A",39.4
"4","ARACAJU","280030803A",53.4
"5","ARACAJU","280030804A",0
"6","CANHOBA","280110801C",23
"7","CARIRA","280140501C",17.6
"8","FREI PAULO","280230401C",20
"9","GARARU","280240301C",15.8
"10","ITABI","280310401C",9.2
"11","MARUIM","280400301A",43.8
"12","NOSSA SENHORA APARECIDA","280445801C",19.6
"13","NOSSA SENHORA DAS DORES","280460701C",30
"14","PORTO DA FOLHA","280560401C",7.8
"15","POÇO REDONDO","280540601A",6.8
"16","POÇO VERDE","280550501U",19.2
"17","PROPRIÁ","280570301C",12.6
"18","RIBEIRÓPOLIS","280600801C",25.4
"19","TOBIAS BARRETO","280740201C",41.6
