"","municipio","codEstacao","PrecM"
"1","ARAPIRACA","270030001C",44.6
"2","BARRA DE SÃO MIGUEL","270060701A",123.12
"3","BRANQUINHA","270110001A",0
"4","CAJUEIRO","270130801A",92.4
"5","CAMPESTRE","270135701A",103.2
"6","CAPELA","270170401A",138.16
"7","DELMIRO GOUVEIA","270240501C",27.4
"8","GIRAU DO PONCIANO","270290001C",63.6
"9","INHAPI","270330401C",32.8
"10","MACEIÓ","270430202A",125.76
"11","MACEIÓ","270430203A",82.67
"12","MACEIÓ","270430205A",125.79
"13","MACEIÓ","270430207A",82.7
"14","MACEIÓ","270430209A",84.37
"15","MACEIÓ","270430210A",99.06
"16","MACEIÓ","270430211A",62.03
"17","MACEIÓ","270430212A",84.05
"18","MACEIÓ","270430213A",122
"19","MACEIÓ","270430214A",97.2
"20","MACEIÓ","270430215A",123.2
"21","MACEIÓ","270430216A",114.6
"22","MACEIÓ","270430217A",93.2
"23","MACEIÓ","270430218A",90
"24","MAJOR ISIDORO","270440101C",63.2
"25","MARAVILHA","270460901C",39
"26","MARECHAL DEODORO","270470801A",16.93
"27","MATA GRANDE","270500201U",37.4
"28","MATRIZ DE CAMARAGIBE","270510101A",95.6
"29","MURICI","270550701A",86.08
"30","MURICI","270550702H",75
"31","OLHO D'ÁGUA DAS FLORES","270570501C",83.2
"32","PALMEIRA DOS ÍNDIOS","270630701U",58.4
"33","PARIPUEIRA","270644801A",107.2
"34","PAULO JACINTO","270660401A",75.92
"35","PIRANHAS","270710701C",35.2
"36","QUEBRANGULO","270760201A",62.77
"37","QUEBRANGULO","270760203H",69.8
"38","SANTANA DO MUNDAÚ","270810501A",70.87
"39","SATUBA","270890701A",139.38
"40","SENADOR RUI PALMEIRA","270895601C",43
"41","SÃO JOSÉ DA LAJE","270830301A",54.6
"42","SÃO JOSÉ DA TAPERA","270840201C",84
"43","SÃO LUÍS DO QUITUNDE","270850101A",4
"44","UNIÃO DOS PALMARES","270930101A",72.96
"45","UNIÃO DOS PALMARES","270930102A",124.13
"46","UNIÃO DOS PALMARES","270930103A",89.26
