"","municipio","codEstacao","PrecM"
"1","BARRA DE SÃO MIGUEL","270060701A",263.37
"2","BRANQUINHA","270110001A",18
"3","CAJUEIRO","270130801A",182
"4","CAMPESTRE","270135701A",233
"5","CAPELA","270170401A",180.96
"6","COLÔNIA LEOPOLDINA","270210801A",215.4
"7","CORURIPE","270230602A",302.2
"8","CORURIPE","270230603A",261.8
"9","DELMIRO GOUVEIA","270240501C",164.4
"10","FELIZ DESERTO","270270201A",388
"11","INHAPI","270330401C",39.2
"12","JOAQUIM GOMES","270380901A",262.4
"13","LIMOEIRO DE ANADIA","270420301A",99
"14","MACEIÓ","270430202A",522.01
"15","MACEIÓ","270430203A",446.41
"16","MACEIÓ","270430205A",600.11
"17","MACEIÓ","270430207A",422.19
"18","MACEIÓ","270430209A",315.7
"19","MACEIÓ","270430210A",515.28
"20","MACEIÓ","270430211A",397.17
"21","MACEIÓ","270430212A",385.43
"22","MACEIÓ","270430213A",568.4
"23","MACEIÓ","270430215A",565
"24","MACEIÓ","270430216A",562.4
"25","MACEIÓ","270430217A",488.4
"26","MACEIÓ","270430218A",354.6
"27","MARAGOGI","270450001A",293.28
"28","MARECHAL DEODORO","270470801A",333.31
"29","MATRIZ DE CAMARAGIBE","270510101A",381.4
"30","MURICI","270550701A",269.12
"31","MURICI","270550702H",309.2
"32","OURO BRANCO","270610901C",0
"33","PARIPUEIRA","270644801A",459.2
"34","PAULO JACINTO","270660401A",200.27
"35","PIRANHAS","270710701C",49.6
"36","QUEBRANGULO","270760201A",182.93
"37","SANTANA DO MUNDAÚ","270810501A",174.49
"38","SATUBA","270890701A",482.8
"39","SÃO JOSÉ DA LAJE","270830301A",130.31
"40","SÃO JOSÉ DA TAPERA","270840201C",27.2
"41","SÃO LUÍS DO QUITUNDE","270850101A",399.84
"42","SÃO MIGUEL DOS CAMPOS","270860001A",381
"43","SÃO MIGUEL DOS CAMPOS","270860002A",308
"44","TRAIPU","270920201C",5.2
"45","UNIÃO DOS PALMARES","270930101A",155.84
"46","UNIÃO DOS PALMARES","270930102A",164.38
"47","UNIÃO DOS PALMARES","270930103A",106.64
"48","VIÇOSA","270940001A",173.2
