"","municipio","codEstacao","PrecM"
"1","ACAUÃ","220005301U",21.6
"2","ALTO LONGÁ","220030101A",174.2
"3","ALVORADA DO GURGUÉIA","220045901C",4.2
"4","BARRAS","220120001A",282.84
"5","BATALHA","220150701A",439.6
"6","BELA VISTA DO PIAUÍ","220155601C",18.2
"7","BETÂNIA DO PIAUÍ","220173901C",28.2
"8","BOQUEIRÃO DO PIAUÍ","220194501A",271.8
"9","BURITI DOS LOPES","220200001A",116
"10","BURITI DOS MONTES","220202601C",27.4
"11","CAJUEIRO DA PRAIA","220208301A",155.4
"12","CAMPO MAIOR","220220801A",146.62
"13","CASTELO DO PIAUÍ","220260401A",50.2
"14","CASTELO DO PIAUÍ","220260401C",89.4
"15","CAXINGÓ","220265301A",526.6
"16","COCAL","220270301A",182.8
"17","CURIMATÁ","220320601C",20.2
"18","CURRAIS","220323001C",68
"19","ESPERANTINA","220370101A",311.15
"20","FLORESTA DO PIAUÍ","220385901C",95.2
"21","FLORIANO","220390901A",138.2
"22","FLORIANO","220390902A",101.8
"23","FRONTEIRAS","220430301C",66.4
"24","ILHA GRANDE","220465901A",225.8
"25","INHUMA","220470901C",15
"26","IPIRANGA DO PIAUÍ","220480801U",91.4
"27","JAICÓS","220520101U",4.6
"28","LAGOA DO BARRO DO PIAUÍ","220556501C",55.6
"29","LUZILÂNDIA","220580501A",202.4
"30","MASSAPÊ DO PIAUÍ","220605001C",74.2
"31","MATIAS OLÍMPIO","220610001A",257.4
"32","MIGUEL ALVES","220620901A",294.4
"33","NAZARÉ DO PIAUÍ","220670401C",18.8
"34","NOVA SANTA RITA","220795901C",14.4
"35","OEIRAS","220700901C",50.2
"36","PARNAÍBA","220770201A",215.4
"37","PARNAÍBA","220770202A",184.4
"38","PARNAÍBA","220770203A",237
"39","PATOS DO PIAUÍ","220777701C",31.4
"40","PAULISTANA","220780101C",28.8
"41","PICOS","220800701C",1.6
"42","PIMENTEIRAS","220810601C",73.4
"43","PIRACURUCA","220830401A",240.8
"44","PIRACURUCA","220830401C",6.6
"45","SANTA CRUZ DO PIAUÍ","220910401C",90.2
"46","SANTA CRUZ DOS MILAGRES","220915301A",203.4
"47","SANTA ROSA DO PIAUÍ","220937701C",119
"48","SANTO INÁCIO DO PIAUÍ","220950001C",97.4
"49","SEBASTIÃO LEAL","221063101C",23.6
"50","SIMÕES","221070601C",61.8
"51","SÃO FRANCISCO DE ASSIS DO PIAUÍ","220965801C",1.4
"52","SÃO JOÃO DA FRONTEIRA","220987201C",96.2
"53","SÃO JOÃO DO PIAUÍ","221000301C",4.8
"54","SÃO JULIÃO","221030001C",107.8
"55","SÃO LOURENÇO DO PIAUÍ","221035901C",35.6
"56","SÃO RAIMUNDO NONATO","221060701C",24.8
"57","TERESINA","221100101A",319.8
"58","TERESINA","221100102A",379.6
"59","TERESINA","221100103A",254.2
"60","TERESINA","221100104A",291.6
"61","UNIÃO","221110001A",455.2
"62","URUÇUÍ","221120901A",115
"63","VALENÇA DO PIAUÍ","221130801C",10.6
"64","WALL FERRAZ","221170401C",98.2
