"","municipio","codEstacao","PrecM"
"1","AQUIDABÃ","280020901C",21.8
"2","ARACAJU","280030801A",128.4
"3","ARACAJU","280030802A",218
"4","ARACAJU","280030803A",150.2
"5","ARACAJU","280030804A",52.2
"6","CANHOBA","280110801C",49
"7","CARIRA","280140501C",39
"8","FREI PAULO","280230401C",18.8
"9","GARARU","280240301C",46
"10","ITABI","280310401C",54.4
"11","MARUIM","280400301A",129.4
"12","NOSSA SENHORA APARECIDA","280445801C",20.6
"13","PORTO DA FOLHA","280560401C",39
"14","POÇO REDONDO","280540601A",15.2
"15","POÇO VERDE","280550501U",35.4
"16","PROPRIÁ","280570301C",51.2
"17","TOBIAS BARRETO","280740201C",64.4
