"","municipio","codEstacao","PrecM"
"1","AQUIDABÃ","280020901C",14.4
"2","ARACAJU","280030801A",147.8
"3","ARACAJU","280030802A",145.4
"4","ARACAJU","280030803A",177.6
"5","ARACAJU","280030804A",0
"6","CANHOBA","280110801C",71.4
"7","CARIRA","280140501C",40.8
"8","FREI PAULO","280230401C",55
"9","GARARU","280240301C",63.8
"10","ITABI","280310401C",59.8
"11","MARUIM","280400301A",152.4
"12","NOSSA SENHORA APARECIDA","280445801C",36.8
"13","NOSSA SENHORA DAS DORES","280460701C",72.8
"14","PORTO DA FOLHA","280560401C",39.4
"15","POÇO REDONDO","280540601A",37.2
"16","POÇO REDONDO","280540601U",12.2
"17","POÇO VERDE","280550501U",36.2
"18","PROPRIÁ","280570301C",84
"19","RIBEIRÓPOLIS","280600801C",59
"20","TOBIAS BARRETO","280740201C",91.8
