"","municipio","codEstacao","PrecM"
"1","AFONSO BEZERRA","240030701C",234.8
"2","ALTO DO RODRIGUES","240070301A",69.15
"3","ANTÔNIO MARTINS","240090101C",271.8
"4","APODI","240100801A",333.5
"5","AUGUSTO SEVERO","240130501C",409.2
"6","AÇU","240020801A",197.94
"7","BAÍA FORMOSA","240140401A",256.29
"8","CAICÓ","240200601A",348.53
"9","CAICÓ","240200601C",287.2
"10","CAICÓ","240200602A",242.8
"11","CANGUARETAMA","240220401A",189.28
"12","CANGUARETAMA","240220402A",235.07
"13","CARAÚBAS","240230301C",343.8
"14","CARNAUBAIS","240250101A",160.03
"15","CEARÁ-MIRIM","240260001A",209.56
"16","CEARÁ-MIRIM","240260002A",51.53
"17","EXTREMOZ","240360801A",245.83
"18","GOIANINHA","240420001A",158.77
"19","GUAMARÉ","240450701A",286.19
"20","IELMO MARINHO","240460601U",0
"21","IPANGUAÇU","240470501A",188.36
"22","JARDIM DE PIRANHAS","240560301A",58.15
"23","JARDIM DO SERIDÓ","240570201C",303.2
"24","JOÃO CÂMARA","240580101A",170
"25","JOÃO CÂMARA","240580101C",186
"26","JUCURUTU","240610601A",111.51
"27","LAGOA NOVA","240650201C",134.4
"28","MACAU","240720301A",227.75
"29","MARCELINO VIEIRA","240730201C",0
"30","MAXARANGUAPE","240750001A",231.59
"31","MONTE ALEGRE","240780701C",0
"32","MOSSORÓ","240800302A",10.39
"33","MOSSORÓ","240800303A",211.98
"34","MOSSORÓ","240800304A",248.62
"35","MOSSORÓ","240800305A",25.09
"36","MOSSORÓ","240800306A",0
"37","MOSSORÓ","240800307A",117.37
"38","MOSSORÓ","240800308A",125.47
"39","NATAL","240810201A",215.7
"40","NATAL","240810202A",254.96
"41","NATAL","240810203A",100.32
"42","NATAL","240810204A",260.65
"43","NATAL","240810205A",253.77
"44","NATAL","240810206A",256.5
"45","NATAL","240810207A",0
"46","NATAL","240810208A",39.13
"47","NOVA CRUZ","240830001C",121
"48","PARELHAS","240890401C",313.4
"49","PATU","240930801A",0
"50","PAU DOS FERROS","240940701C",124
"51","PENDÊNCIAS","240990201A",9.25
"52","PORTO DO MANGUE","241025601A",42.47
"53","RIACHO DE SANTANA","241080101C",245.8
"54","SANTA CRUZ","241120501C",130.8
"55","SÃO JOSÉ DE MIPIBU","241220301A",177.38
"56","SÃO JOSÉ DE MIPIBU","241220302A",177.83
"57","SÃO MIGUEL","241250001C",151.6
"58","SÃO PAULO DO POTENGI","241260901C",175.4
"59","SÃO RAFAEL","241280701A",117.75
"60","SÃO TOMÉ","241290601C",251.6
"61","TAIPU","241390401C",0
"62","TOUROS","241440701A",378.58
"63","VÁRZEA","241470401A",118.82
