;municipio;codEstacao;PrecM
1;ABREU E LIMA;260005401A;167,57
2;ABREU E LIMA;260005402A;0,2
3;AFOGADOS DA INGAZEIRA;260010401A;197,56
4;AFRÂNIO;260020301A;41,46
5;ALAGOINHA;260060901U;1,6
6;ALIANÇA;260070801A;60,25
7;ALTINHO;260080701A;46,4
8;ALTINHO;260080701C;26,6
9;ALTINHO;260080702A;53,56
10;AMARAJI;260090601A;227,16
11;ANGELIM;260100301A;37,9
12;ARARIPINA;260110201A;0
13;ARAÇOIABA;260105201A;106,07
14;ARCOVERDE;260120101C;60
15;BARRA DE GUABIRABA;260130001A;132,33
16;BARREIROS;260140901A;190,18
17;BARREIROS;260140902A;207,46
18;BARREIROS;260140903A;222,52
19;BELO JARDIM;260170601C;27
20;BELÉM DE MARIA;260150802A;89,81
21;BETÂNIA;260180501A;32,96
22;BEZERROS;260190401A;85,42
23;BEZERROS;260190401C;83,2
24;BOM CONSELHO;260210001C;27,4
25;BONITO;260230801A;104,67
26;BREJINHO;260250601A;191,93
27;BREJO DA MADRE DE DEUS;260260501C;89,2
28;BREJÃO;260240701C;26
29;BUENOS AIRES;260270401A;103,42
30;BUÍQUE;260280301A;7,4
31;CABO DE SANTO AGOSTINHO;260290204A;198,62
32;CABROBÓ;260300901A;12,83
33;CABROBÓ;260300901C;0
34;CACHOEIRINHA;260310801A;15,6
35;CACHOEIRINHA;260310802A;25,29
36;CAETÉS;260320701A;48,6
37;CAETÉS;260320701C;14
38;CALÇADO;260330601A;34,47
39;CAMARAGIBE;260345401A;225,38
40;CAMARAGIBE;260345402A;211,36
41;CAMARAGIBE;260345403A;229,24
42;CAMARAGIBE;260345404A;237,16
43;CAMARAGIBE;260345405A;0
44;CAMOCIM DE SÃO FÉLIX;260350401A;75,21
45;CAMUTANGA;260360301A;0,2
46;CAPOEIRAS;260380101A;33,81
47;CARNAÍBA;260390001C;20,6
48;CARUARU;260410601A;111,78
49;CARUARU;260410602A;132,73
50;CARUARU;260410603A;113,58
51;CARUARU;260410605A;83,99
52;CARUARU;260410606A;65,43
53;CARUARU;260410607A;60,2
54;CARUARU;260410608A;116,89
55;CASINHAS;260415501A;29,51
56;CATENDE;260420502A;132,36
57;CATENDE;260420503A;135,5
58;CATENDE;260420504A;137,88
59;CHÃ DE ALEGRIA;260440301A;53,51
60;CHÃ GRANDE;260450201A;90,6
61;CONDADO;260460101A;118,89
62;CORRENTES;260470001A;81,22
63;CORRENTES;260470001C;0
64;CORTÊS;260480901A;204,14
65;CORTÊS;260480902A;250,78
66;CUSTÓDIA;260510301A;1,58
67;CUSTÓDIA;260510301C;119,8
68;DORMENTES;260515201A;16,77
69;DORMENTES;260515201C;0,4
70;ESCADA;260520201A;129,93
71;ESCADA;260520202A;145,79
72;FEIRA NOVA;260540001A;37,15
73;FERREIROS;260550901A;76,33
74;FLORES;260560801A;107,7
75;FLORES;260560801C;0
76;FLORESTA;260570701A;24,8
77;FLORESTA;260570702A;41,96
78;FREI MIGUELINHO;260580601C;94,4
79;GAMELEIRA;260590501A;171,03
80;GAMELEIRA;260590502A;165,52
81;GLÓRIA DO GOITÁ;260610101A;43,25
82;GLÓRIA DO GOITÁ;260610102A;27,89
83;GOIANA;260620001A;129,4
84;GOIANA;260620002A;155
85;GOIANA;260620003A;236,19
86;GRANITO;260630901C;4,6
87;GRAVATÁ;260640801C;0
88;IATI;260650701A;102,46
89;IBIMIRIM;260660601A;147,19
90;IBIMIRIM;260660601C;78,8
91;IGARASSU;260680403A;223,54
92;IGARASSU;260680405A;174,93
93;IGARASSU;260680406A;264,74
94;IGUARACI;260690301A;133,96
95;IGUARACI;260690301C;99,2
96;ILHA DE ITAMARACÁ;260760401A;234,07
97;INGAZEIRA;260710901U;1,4
98;IPOJUCA;260720801A;149,71
99;IPOJUCA;260720803A;183,78
100;IPOJUCA;260720804A;155,74
101;IPUBI;260730701A;148,47
102;IPUBI;260730703A;137,2
103;ITACURUBA;260740601A;30,89
104;ITACURUBA;260740601C;33,8
105;ITAMBÉ;260765301A;114,85
106;ITAMBÉ;260765302A;174,29
107;ITAPETIM;260770301A;83,99
108;ITAPISSUMA;260775201A;207,71
109;ITAQUITINGA;260780201A;112,25
110;ITAÍBA;260750501U;62
111;JABOATÃO DOS GUARARAPES;260790101A;123,92
112;JABOATÃO DOS GUARARAPES;260790102A;193,13
113;JABOATÃO DOS GUARARAPES;260790104A;126,69
114;JABOATÃO DOS GUARARAPES;260790106A;128,96
115;JABOATÃO DOS GUARARAPES;260790107A;160,49
116;JABOATÃO DOS GUARARAPES;260790108A;169,27
117;JABOATÃO DOS GUARARAPES;260790109A;170,35
118;JABOATÃO DOS GUARARAPES;260790110A;126,8
119;JAQUEIRA;260795001A;117,29
120;JAQUEIRA;260795002A;128,32
121;JAQUEIRA;260795004H;120,2
122;JATAÚBA;260800801C;42
123;JATOBÁ;260805701C;62,4
124;JUPI;260830501A;71,97
125;JUREMA;260840401A;25,8
126;JUREMA;260840401C;15
127;LAGOA DE ITAENGA;260850301A;90,72
128;LAGOA DO CARRO;260845301A;84,69
129;LAGOA DO OURO;260860201A;41,44
130;LAGOA DOS GATOS;260870101A;84,04
131;LAGOA GRANDE;260875001A;13,79
132;LAGOA GRANDE;260875001U;47,2
133;LAJEDO;260880001A;50,8
134;LAJEDO;260880001C;8,2
135;LIMOEIRO;260890901A;68,98
136;MACAPARANA;260900601A;78,2
137;MACHADOS;260910501A;97,8
138;MANARI;260915401C;0
139;MARAIAL;260920401A;143,94
140;MARAIAL;260920402A;116,32
141;MIRANDIBA;260930301C;78,4
142;MOREILÂNDIA;261430301A;106,94
143;MORENO;260940201A;101,65
144;MORENO;260940202A;123,6
145;NAZARÉ DA MATA;260950101A;89,32
146;NAZARÉ DA MATA;260950102A;88,46
147;NAZARÉ DA MATA;260950103A;75,64
148;NAZARÉ DA MATA;260950104A;94,67
149;OLINDA;260960002A;273,45
150;OLINDA;260960003A;199,74
151;OLINDA;260960004A;176,14
152;OLINDA;260960005A;181,76
153;OROBÓ;260970901C;74,4
154;OROCÓ;260980801A;37,82
155;OROCÓ;260980801C;2,6
156;OURICURI;260990701C;0
157;PALMARES;261000402A;104,31
158;PALMEIRINA;261010301A;56,91
159;PALMEIRINA;261010301U;50,4
160;PANELAS;261020201A;44,43
161;PARANATAMA;261030101A;40,95
162;PARNAMIRIM;261040001A;10,8
163;PARNAMIRIM;261040001C;28
164;PARNAMIRIM;261040002A;135
165;PASSIRA;261050901A;47,67
166;PAUDALHO;261060801A;134,61
167;PAUDALHO;261060802A;91
168;PAULISTA;261070702A;0
169;PAULISTA;261070703A;99,5
170;PAULISTA;261070704A;138,33
171;PAULISTA;261070705A;162,03
172;PAULISTA;261070706A;0
173;PEDRA;261080601A;99,13
174;PEDRA;261080601C;74,4
175;PESQUEIRA;261090501C;16,8
176;PETROLINA;261110101A;41
177;PETROLINA;261110101C;50,2
178;PETROLINA;261110102A;31,2
179;PETROLINA;261110102C;0
180;PETROLINA;261110103A;39,2
181;PETROLINA;261110103C;41,4
182;PETROLINA;261110104A;40,8
183;PETROLINA;261110105A;86,94
184;PETROLINA;261110106A;80,79
185;POMBOS;261130901A;82,4
186;POMBOS;261130902A;83,9
187;POÇÃO;261120001A;72
188;PRIMAVERA;261140801A;169,17
189;PRIMAVERA;261140802A;170,99
190;QUIPAPÁ;261150701A;60,75
191;QUIPAPÁ;261150702A;4,53
192;QUIXABA;261153301A;178,63
193;RECIFE;261160604A;134,78
194;RECIFE;261160605A;231,42
195;RECIFE;261160606A;95,08
196;RECIFE;261160608A;50,2
