;municipio;codEstacao;PrecM
1;ABREU E LIMA;260005401A;274,61
2;ABREU E LIMA;260005402A;312,02
3;AFOGADOS DA INGAZEIRA;260010401A;0
4;AGRESTINA;260030201A;113,72
5;ALIANÇA;260070801A;196,48
6;ALTINHO;260080701A;87
7;AMARAJI;260090601A;275,98
8;ANGELIM;260100301A;95,6
9;ARAÇOIABA;260105201A;291,13
10;BARRA DE GUABIRABA;260130001A;126,36
11;BARREIROS;260140901A;309,39
12;BARREIROS;260140902A;281,02
13;BELO JARDIM;260170601C;76
14;BELÉM DE MARIA;260150802A;151,92
15;BEZERROS;260190401A;106,65
16;BOM CONSELHO;260210001C;31,2
17;BOM JARDIM;260220901A;119,06
18;BONITO;260230801A;124,48
19;BONITO;260230802A;156,84
20;BREJO DA MADRE DE DEUS;260260501C;65,2
21;BREJÃO;260240701C;52
22;BUENOS AIRES;260270401A;149,91
23;BUÍQUE;260280301A;97,06
24;CABO DE SANTO AGOSTINHO;260290203A;16,8
25;CABO DE SANTO AGOSTINHO;260290204A;203,85
26;CABO DE SANTO AGOSTINHO;260290205A;284,66
27;CABROBÓ;260300901A;31,28
28;CACHOEIRINHA;260310801A;43,96
29;CAETÉS;260320701A;159,99
30;CAETÉS;260320701C;52,8
31;CAMARAGIBE;260345401A;296,15
32;CAMARAGIBE;260345401G;293,4
33;CAMARAGIBE;260345404A;292,34
34;CAMARAGIBE;260345405A;278,48
35;CAMARAGIBE;260345406A;220,07
36;CAMOCIM DE SÃO FÉLIX;260350401A;70,41
37;CAMUTANGA;260360301A;139,95
38;CAPOEIRAS;260380101A;70,76
39;CARNAÍBA;260390001C;63
40;CARUARU;260410601A;116,66
41;CARUARU;260410602A;64,35
42;CARUARU;260410607A;94
43;CATENDE;260420502A;164,81
44;CHÃ DE ALEGRIA;260440301A;172,4
45;CHÃ GRANDE;260450201A;4
46;CONDADO;260460101A;67,78
47;CORRENTES;260470001A;158,11
48;CORTÊS;260480901A;222,16
49;CUMARU;260490801A;66,25
50;CUSTÓDIA;260510301A;131,28
51;DORMENTES;260515201A;4,18
52;ESCADA;260520201A;293,27
53;FEIRA NOVA;260540001A;133,58
54;FERREIROS;260550901A;100,86
55;FLORES;260560801A;102,2
56;FLORESTA;260570701A;103
57;FLORESTA;260570701C;49,4
58;FREI MIGUELINHO;260580601A;6,99
59;GAMELEIRA;260590501A;249,72
60;GARANHUNS;260600201C;70,6
61;GLÓRIA DO GOITÁ;260610102A;152,72
62;GOIANA;260620001A;189
63;GOIANA;260620002A;179,4
64;GOIANA;260620003A;146,83
65;IATI;260650701A;30,76
66;IATI;260650701C;17,2
67;IBIMIRIM;260660601A;56,29
68;IBIMIRIM;260660601C;0,8
69;IGARASSU;260680403A;18,99
70;IGARASSU;260680405A;246,3
71;IGUARACI;260690301C;54,2
72;ILHA DE ITAMARACÁ;260760401A;250,24
73;INAJÁ;260700001A;51,14
74;IPOJUCA;260720801A;314,72
75;IPOJUCA;260720804A;0
76;IPOJUCA;260720805A;389,88
77;IPUBI;260730701A;6,48
78;IPUBI;260730702A;16,03
79;IPUBI;260730703A;14,94
80;ITACURUBA;260740601A;0
81;ITAMBÉ;260765301A;164,66
82;ITAMBÉ;260765302A;142,22
83;ITAPETIM;260770301A;99,57
84;ITAQUITINGA;260780201A;213,41
85;ITAÍBA;260750501A;108,27
86;ITAÍBA;260750501U;97
87;JABOATÃO DOS GUARARAPES;260790101A;299,2
88;JABOATÃO DOS GUARARAPES;260790101G;322,2
89;JABOATÃO DOS GUARARAPES;260790102A;0
90;JABOATÃO DOS GUARARAPES;260790102G;279
91;JABOATÃO DOS GUARARAPES;260790103A;195,16
92;JABOATÃO DOS GUARARAPES;260790103G;329,4
93;JABOATÃO DOS GUARARAPES;260790104A;46
94;JABOATÃO DOS GUARARAPES;260790106A;186,51
95;JABOATÃO DOS GUARARAPES;260790107A;374,6
96;JABOATÃO DOS GUARARAPES;260790108A;322,03
97;JABOATÃO DOS GUARARAPES;260790109A;243,19
98;JAQUEIRA;260795001A;172,32
99;JATOBÁ;260805701A;16,63
100;JATOBÁ;260805701C;19
101;JOAQUIM NABUCO;260820602A;202,05
102;JOÃO ALFREDO;260810701A;0
103;JUCATI;260825501A;32,19
104;JUPI;260830501A;87,99
105;JUREMA;260840401C;19,8
106;LAGOA DE ITAENGA;260850301A;112,39
107;LAGOA DO CARRO;260845301A;167,3
108;LAGOA DO OURO;260860201A;77,44
109;LAGOA DOS GATOS;260870101A;117,02
110;LAGOA GRANDE;260875001A;11,26
111;LAJEDO;260880001A;65,2
112;LIMOEIRO;260890901A;108,54
113;MACAPARANA;260900601A;154,13
114;MACHADOS;260910501A;76,06
115;MARAIAL;260920401A;108,41
116;MIRANDIBA;260930301C;0,4
117;MOREILÂNDIA;261430301A;27,57
118;MORENO;260940202A;251,13
119;NAZARÉ DA MATA;260950101A;32,52
120;NAZARÉ DA MATA;260950102A;164,86
121;NAZARÉ DA MATA;260950103A;123,52
122;OLINDA;260960001A;231,58
123;OLINDA;260960001G;198,8
124;OLINDA;260960003A;273,86
125;OLINDA;260960004A;120
126;OLINDA;260960005A;272,37
127;OROBÓ;260970901C;94,6
128;OROCÓ;260980801A;11,65
129;OURICURI;260990701C;0
130;PALMARES;261000403A;187,63
131;PALMEIRINA;261010301A;78,51
132;PANELAS;261020201A;66,99
133;PARANATAMA;261030101A;59,89
134;PARNAMIRIM;261040001A;0
135;PASSIRA;261050901A;93,3
136;PAUDALHO;261060802A;0
137;PAULISTA;261070702A;105,26
138;PAULISTA;261070704A;248,77
139;PAULISTA;261070705A;241,68
140;PEDRA;261080601A;83,7
141;PESQUEIRA;261090501C;0,2
142;PETROLINA;261110101A;24,2
143;PETROLINA;261110101C;6
144;PETROLINA;261110102A;11,8
145;PETROLINA;261110103A;21,8
146;PETROLINA;261110103C;0,2
147;PETROLINA;261110104A;14,8
148;PETROLINA;261110105A;1,4
149;PETROLÂNDIA;261100201A;12,68
150;POMBOS;261130901A;97,4
151;POÇÃO;261120001A;86,4
152;PRIMAVERA;261140801A;237,58
153;QUIPAPÁ;261150701A;116,63
154;QUIPAPÁ;261150702A;82,88
155;RECIFE;261160603A;283,67
156;RECIFE;261160603G;258,2
157;RECIFE;261160604A;0
158;RECIFE;261160605A;3078,18
159;RECIFE;261160605G;281,2
160;RECIFE;261160606A;194,68
161;RECIFE;261160606G;262,2
162;RECIFE;261160609A;134,16
163;RECIFE;261160609G;59,2
164;RECIFE;261160610A;275,84
165;RECIFE;261160613A;0
166;RECIFE;261160614A;233,68
167;RECIFE;261160615A;259,31
168;RECIFE;261160617A;220,18
169;RECIFE;261160618A;211,36
170;RECIFE;261160620A;168
171;RECIFE;261160621A;300
172;RECIFE;261160623A;189,59
173;RIACHO DAS ALMAS;261170501A;90,29
174;RIBEIRÃO;261180401A;172,46
175;RIBEIRÃO;261180402A;245,52
176;RIO FORMOSO;261190302A;245,8
177;RIO FORMOSO;261190303A;309,45
178;SALGADINHO;261210901C;37,4
179;SALOÁ;261230701A;0
180;SANHARÓ;261240601A;66,2
181;SANTA CRUZ DA BAIXA VERDE;261247101A;78,82
182;SANTA CRUZ DO CAPIBARIBE;261250501A;69,24
183;SANTA CRUZ DO CAPIBARIBE;261250501U;24,4
184;SANTA MARIA DO CAMBUCÁ;261270301A;82,37
185;SANTA TEREZINHA;261280201C;0,2
186;SERRA TALHADA;261390901C;33,6
187;SERTÂNIA;261410501A;124,94
188;SERTÂNIA;261410501C;90,4
189;SERTÂNIA;261410502C;0,2
190;SIRINHAÉM;261420401A;291,19
191;SIRINHAÉM;261420402A;2,66
192;SURUBIM;261450101A;63,55
193;SÃO BENEDITO DO SUL;261290101A;146,09
194;SÃO BENTO DO UNA;261300801C;50,2
195;SÃO CAITANO;261310701A;44,87
196;SÃO JOAQUIM DO MONTE;261330501U;4,4
197;SÃO JOAQUIM DO MONTE;261330502A;111,98
198;SÃO JOSÉ DA COROA GRANDE;261340401A;334,63
199;SÃO JOSÉ DO BELMONTE;261350302A;37,16
200;SÃO JOSÉ DO EGITO;261360201C;0,6
201;SÃO JOÃO;261320601A;56,4
202;SÃO LOURENÇO DA MATA;261370101A;262,92
203;SÃO LOURENÇO DA MATA;261370103A;248,25
204;SÃO LOURENÇO DA MATA;261370104A;260,6
205;SÃO VICENTE FERRER;261380001A;149,56
206;TACAIMBÓ;261470902A;37,01
207;TACARATU;261480801A;62,48
208;TAMANDARÉ;261485701A;262,14
209;TAMANDARÉ;261485702A;192,49
210;TAQUARITINGA DO NORTE;261500301A;90,81
211;TEREZINHA;261510201A;54,49
212;TIMBAÚBA;261530001A;118,04
213;TORITAMA;261540901A;198,42
214;TRACUNHAÉM;261550801A;167,94
215;TRIUNFO;261570601A;99,82
216;TUPARETAMA;261590401A;84,03
217;VENTUROSA;261600101C;13
218;VICÊNCIA;261630801A;46,44
219;VICÊNCIA;261630802A;139,87
220;VITÓRIA DE SANTO ANTÃO;261640702A;112,2
221;XEXÉU;261650601A;269,09
222;ÁGUA PRETA;260040101A;216,68
223;ÁGUAS BELAS;260050002A;96,49
