"","municipio","codEstacao","PrecM"
"1","BARRA DE SÃO MIGUEL","270060701A",239.87
"2","BRANQUINHA","270110001A",18.8
"3","CAJUEIRO","270130801A",167.6
"4","CAMPESTRE","270135701A",93.8
"5","CAPELA","270170401A",173.98
"6","COLÔNIA LEOPOLDINA","270210801A",109.8
"7","CORURIPE","270230602A",215.2
"8","CORURIPE","270230603A",204.2
"9","DELMIRO GOUVEIA","270240501C",55.6
"10","FELIZ DESERTO","270270201A",174.4
"11","INHAPI","270330401C",1.4
"12","JOAQUIM GOMES","270380901A",185
"13","LIMOEIRO DE ANADIA","270420301A",147
"14","MACEIÓ","270430202A",278.27
"15","MACEIÓ","270430203A",282.31
"16","MACEIÓ","270430205A",293.86
"17","MACEIÓ","270430207A",274.82
"18","MACEIÓ","270430209A",299.41
"19","MACEIÓ","270430210A",320.75
"20","MACEIÓ","270430211A",364.15
"21","MACEIÓ","270430212A",230.15
"22","MACEIÓ","270430213A",332.4
"23","MACEIÓ","270430215A",294.2
"24","MACEIÓ","270430216A",382
"25","MACEIÓ","270430217A",335.4
"26","MACEIÓ","270430218A",305.8
"27","MARAGOGI","270450001A",297.18
"28","MARECHAL DEODORO","270470801A",174.83
"29","MATRIZ DE CAMARAGIBE","270510101A",232.4
"30","MURICI","270550701A",100.69
"31","MURICI","270550702H",154
"32","OURO BRANCO","270610901C",0
"33","PALMEIRA DOS ÍNDIOS","270630701U",86.8
"34","PARIPUEIRA","270644801A",309.6
"35","PAULO JACINTO","270660401A",104.56
"36","PIRANHAS","270710701C",3.8
"37","QUEBRANGULO","270760201A",106.27
"38","SANTANA DO MUNDAÚ","270810501A",88.43
"39","SATUBA","270890701A",262.59
"40","SÃO JOSÉ DA LAJE","270830301A",121.36
"41","SÃO JOSÉ DA TAPERA","270840201C",20
"42","SÃO LUÍS DO QUITUNDE","270850101A",327.78
"43","SÃO MIGUEL DOS CAMPOS","270860001A",198.2
"44","SÃO MIGUEL DOS CAMPOS","270860002A",171.2
"45","UNIÃO DOS PALMARES","270930101A",122.93
"46","UNIÃO DOS PALMARES","270930102A",125.42
"47","UNIÃO DOS PALMARES","270930103A",105.65
"48","VIÇOSA","270940001A",140.4
